"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVT-L-06-G 1/8''-SC ";"34,7 ";"L ";"7192 "
"315 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EVT-L-08-G 1/4''-SC ";"39,27 ";"L ";"7193 "
"315 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-L-10-G 1/4''-SC ";"43,82 ";"L ";"7194 "
"315 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVT-L-12-G 3/8''-SC ";"50,17 ";"L ";"7195 "
"315 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EVT-L-15-G 1/2''-SC ";"68,88 ";"L ";"7196 "
"315 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVT-L-18-G 1/2''-SC ";"94,88 ";"L ";"7197 "
"160 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"65,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-L-22-G 3/4''-SC ";"107,92 ";"L ";"7198 "
"160 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EVT-L-28-G 1''-SC ";"171,02 ";"L ";"7199 "
"160 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-L-35-G 1 1/4''-SC ";"266,15 ";"L ";"7200 "
"160 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-L-42-G 1 1/2''-SC ";"359,29 ";"L ";"7201 "
"630 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EVT-S-06-G 1/4''-SC ";"36,98 ";"S ";"7202 "
"630 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVT-S-08-G 1/4''-SC ";"42,76 ";"S ";"7203 "
"630 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-S-10-G 3/8''-SC ";"49,08 ";"S ";"7204 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EVT-S-12-G 3/8''-SC ";"53,25 ";"S ";"7205 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-S-14-G 1/2''-SC ";"73,73 ";"S ";"7206 "
"400 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVT-S-16-G 1/2''-SC ";"91,58 ";"S ";"7207 "
"400 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-S-20-G 3/4''-SC ";"123,29 ";"S ";"7208 "
"400 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVT-S-25-G 1''-SC ";"193,02 ";"S ";"7209 "
"400 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-S-30-G 1 1/4''-SC ";"249,8 ";"S ";"7210 "
"250 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-S-38-G 1 1/2''-SC ";"373,7 ";"S ";"7211 "
