"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"58 ";"29,0 ";"17 ";"17 ";"14 ";"RD-L-06 ";"56,24 ";"L ";"7730 "
"250 ";"8 ";"59 ";"30,0 ";"17 ";"19 ";"17 ";"RD-L-08 ";"61,36 ";"L ";"7731 "
"250 ";"10 ";"70 ";"40,5 ";"22 ";"24 ";"19 ";"RD-L-10 ";"76,69 ";"L ";"7732 "
"250 ";"12 ";"73 ";"43,5 ";"27 ";"30 ";"22 ";"RD-L-12 ";"84,36 ";"L ";"7733 "
"250 ";"15 ";"78 ";"47,5 ";"27 ";"30 ";"27 ";"RD-L-15 ";"99,7 ";"L ";"7734 "
"160 ";"18 ";"84 ";"51,5 ";"36 ";"36 ";"32 ";"RD-L-18 ";"130,38 ";"L ";"7735 "
"160 ";"22 ";"94 ";"61,5 ";"41 ";"46 ";"36 ";"RD-L-22 ";"173,84 ";"L ";"7736 "
"100 ";"28 ";"103 ";"69,5 ";"50 ";"55 ";"41 ";"RD-L-28 ";"222,93 ";"L ";"7737 "
"100 ";"35 ";"118 ";"74,5 ";"60 ";"60 ";"50 ";"RD-L-35 ";"304,22 ";"L ";"7738 "
"100 ";"42 ";"122 ";"74,0 ";"65 ";"70 ";"60 ";"RD-L-42 ";"457,61 ";"L ";"7739 "
"630 ";"6 ";"64 ";"34,5 ";"19 ";"19 ";"17 ";"RD-S-06 ";"63,91 ";"S ";"7740 "
"630 ";"8 ";"64 ";"34,5 ";"19 ";"22 ";"19 ";"RD-S-08 ";"66,47 ";"S ";"7741 "
"630 ";"10 ";"73 ";"40,5 ";"24 ";"27 ";"22 ";"RD-S-10 ";"74,14 ";"S ";"7742 "
"630 ";"12 ";"75 ";"42,5 ";"27 ";"30 ";"24 ";"RD-S-12 ";"81,81 ";"S ";"7743 "
"630 ";"14 ";"83 ";"47,5 ";"27 ";"32 ";"27 ";"RD-S-14 ";"92,03 ";"S ";"7744 "
"400 ";"16 ";"87 ";"50,5 ";"32 ";"36 ";"30 ";"RD-S-16 ";"112,49 ";"S ";"7745 "
"400 ";"20 ";"98 ";"54,5 ";"41 ";"46 ";"36 ";"RD-S-20 ";"173,84 ";"S ";"7746 "
"400 ";"25 ";"107 ";"58,5 ";"46 ";"50 ";"46 ";"RD-S-25 ";"209,12 ";"S ";"7747 "
"250 ";"30 ";"123 ";"69,5 ";"55 ";"60 ";"50 ";"RD-S-30 ";"309,34 ";"S ";"7748 "
"250 ";"38 ";"140 ";"75,5 ";"65 ";"70 ";"60 ";"RD-S-38 ";"444,83 ";"S ";"7749 "
