"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"29,0 ";"43,0 ";"17 ";"17 ";"RD-L-06-OMD ";"51,62 ";"L ";"7770 "
"250 ";"8 ";"30,0 ";"44,0 ";"17 ";"19 ";"RD-L-08-OMD ";"55,76 ";"L ";"7771 "
"250 ";"10 ";"40,5 ";"54,5 ";"22 ";"24 ";"RD-L-10-OMD ";"69,97 ";"L ";"7772 "
"250 ";"12 ";"43,5 ";"57,5 ";"27 ";"30 ";"RD-L-12-OMD ";"76,58 ";"L ";"7773 "
"250 ";"15 ";"47,5 ";"61,5 ";"27 ";"30 ";"RD-L-15-OMD ";"89,42 ";"L ";"7774 "
"160 ";"18 ";"51,5 ";"65,5 ";"36 ";"36 ";"RD-L-18-OMD ";"113,14 ";"L ";"7775 "
"160 ";"22 ";"61,5 ";"76,5 ";"41 ";"46 ";"RD-L-22-OMD ";"153,22 ";"L ";"7776 "
"100 ";"28 ";"69,5 ";"84,5 ";"50 ";"55 ";"RD-L-28-OMD ";"193,23 ";"L ";"7777 "
"100 ";"35 ";"74,5 ";"95,5 ";"60 ";"60 ";"RD-L-35-OMD ";"262 ";"L ";"7778 "
"100 ";"42 ";"74,0 ";"96,0 ";"65 ";"70 ";"RD-L-42-OMD ";"402,75 ";"L ";"7779 "
"630 ";"6 ";"34,5 ";"48,5 ";"19 ";"19 ";"RD-S-06-OMD ";"58,33 ";"S ";"7780 "
"630 ";"8 ";"34,5 ";"48,5 ";"19 ";"22 ";"RD-S-08-OMD ";"60,07 ";"S ";"7781 "
"630 ";"10 ";"40,5 ";"55,6 ";"24 ";"27 ";"RD-S-10-OMD ";"66,26 ";"S ";"7782 "
"630 ";"12 ";"42,5 ";"57,5 ";"27 ";"30 ";"RD-S-12-OMD ";"72,91 ";"S ";"7783 "
"630 ";"14 ";"47,5 ";"63,5 ";"27 ";"32 ";"RD-S-14-OMD ";"81,03 ";"S ";"7784 "
"400 ";"16 ";"50,5 ";"67,5 ";"32 ";"36 ";"RD-S-16-OMD ";"96,07 ";"S ";"7785 "
"400 ";"20 ";"54,5 ";"75,5 ";"41 ";"46 ";"RD-S-20-OMD ";"152,68 ";"S ";"7786 "
"400 ";"25 ";"58,5 ";"84,5 ";"46 ";"50 ";"RD-S-25-OMD ";"171,88 ";"S ";"7787 "
"250 ";"30 ";"69,5 ";"96,5 ";"55 ";"60 ";"RD-S-30-OMD ";"262,46 ";"S ";"7788 "
"250 ";"38 ";"75,5 ";"107,5 ";"65 ";"70 ";"RD-S-38-OMD ";"381,55 ";"S ";"7789 "
