"Druck  Pressure  PB";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"G 1/8'' BSP ";"42,5 ";"8,0 ";"17 ";"17 ";"RD-I-G 1/8'' ";"65,96 ";"BSP ";"7472 "
"400 ";"G 1/4'' BSP ";"54,0 ";"12,0 ";"19 ";"19 ";"RD-I-G 1/4'' ";"65,96 ";"BSP ";"7473 "
"400 ";"G 3/8'' BSP ";"60,0 ";"12,0 ";"24 ";"27 ";"RD-I-G 3/8'' ";"74,14 ";"BSP ";"7474 "
"400 ";"G 1/2'' BSP ";"71,0 ";"15,0 ";"32 ";"36 ";"RD-I-G 1/2'' ";"94,59 ";"BSP ";"7475 "
"400 ";"G 3/4'' BSP ";"84,0 ";"16,5 ";"41 ";"46 ";"RD-I-G 3/4'' ";"152,37 ";"BSP ";"7476 "
"400 ";"G 1'' BSP ";"94,5 ";"19,0 ";"46 ";"50 ";"RD-I-G 1'' ";"165,66 ";"BSP ";"7477 "
"250 ";"G 1 1/4'' BSP ";"110,0 ";"21,5 ";"55 ";"60 ";"RD-I-G 1 1/4'' ";"319 ";"BSP ";"7478 "
"250 ";"G 1 1/2'' BSP ";"114,5 ";"22,0 ";"65 ";"70 ";"RD-I-G 1 1/2'' ";"489 ";"BSP ";"7479 "
"250 ";"G 2'' BSP ";"120,0 ";"26,0 ";"75 ";"75 ";"RD-I-G 2'' ";"812 ";"BSP ";"7480 "
"400 ";"1/8'' NPT ";"42,5 ";"11,6 ";"17 ";"17 ";"RD-I-NPT-1/8'' ";"79,15 ";"NPT ";"7481 "
"400 ";"1/4'' NPT ";"57,5 ";"16,4 ";"19 ";"19 ";"RD-I-NPT-1/4'' ";"79,15 ";"NPT ";"7482 "
"400 ";"3/8'' NPT ";"63,5 ";"17,4 ";"24 ";"27 ";"RD-I-NPT-3/8'' ";"88,97 ";"NPT ";"7483 "
"400 ";"1/2'' NPT ";"78,0 ";"22,6 ";"32 ";"36 ";"RD-I-NPT-1/2'' ";"113,5 ";"NPT ";"7484 "
"400 ";"3/4'' NPT ";"84,5 ";"23,1 ";"41 ";"46 ";"RD-I-NPT-3/4'' ";"182,85 ";"NPT ";"7485 "
"400 ";"1'' NPT ";"101,0 ";"27,8 ";"46 ";"50 ";"RD-I-NPT-1'' ";"198,8 ";"NPT ";"7486 "
"250 ";"1 1/4'' NPT ";"110,0 ";"28,3 ";"55 ";"60 ";"RD-I-NPT-1 1/4'' ";"382,8 ";"NPT ";"7487 "
"250 ";"1 1/2'' NPT ";"117,5 ";"28,3 ";"65 ";"70 ";"RD-I-NPT-1 1/2'' ";"586,8 ";"NPT ";"7488 "
"250 ";"2'' NPT ";"120,0 ";"";"75 ";"75 ";"RD-I-NPT-2'' ";"812 ";"NPT ";"7489 "
