"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"G 1/8''  ";"43 ";"28,0 ";"8 ";"17 ";"17 ";"14 ";"RV-L-06-G 1/8''-wd-SC ";"54,01 ";"L ";"7690 "
"250 ";"8 ";"G 1/4''  ";"45 ";"30,0 ";"12 ";"19 ";"19 ";"17 ";"RV-L-08-G 1/4''-wd-SC ";"59,24 ";"L ";"7691 "
"250 ";"10 ";"G 1/4''  ";"53 ";"38,5 ";"12 ";"22 ";"24 ";"19 ";"RV-L-10-G 1/4''-wd-SC ";"69,47 ";"L ";"7692 "
"250 ";"12 ";"G 3/8''  ";"57 ";"42,5 ";"12 ";"27 ";"30 ";"22 ";"RV-L-12-G 3/8''-wd-SC ";"82,37 ";"L ";"7693 "
"250 ";"15 ";"G 1/2''  ";"61 ";"45,5 ";"14 ";"27 ";"30 ";"27 ";"RV-L-15-G 1/2''-wd-SC ";"93,11 ";"L ";"7694 "
"160 ";"18 ";"G 1/2''  ";"66 ";"50,0 ";"14 ";"36 ";"36 ";"32 ";"RV-L-18-G 1/2''-wd-SC ";"121,8 ";"L ";"7695 "
"160 ";"22 ";"G 3/4''  ";"71 ";"55,0 ";"16 ";"41 ";"46 ";"36 ";"RV-L-22-G 3/4''-wd-SC ";"173,56 ";"L ";"7696 "
"100 ";"28 ";"G 1''  ";"80 ";"63,0 ";"18 ";"50 ";"55 ";"41 ";"RV-L-28-G 1''-wd-SC ";"234,64 ";"L ";"7697 "
"100 ";"35 ";"G 1 1/4''  ";"91 ";"69,0 ";"20 ";"60 ";"60 ";"50 ";"RV-L-35-G 1 1/4''-wd-SC ";"338,62 ";"L ";"7698 "
"100 ";"42 ";"G 1 1/2''  ";"104 ";"71,5 ";"22 ";"65 ";"70 ";"60 ";"RV-L-42-G 1 1/2''-wd-SC ";"477,27 ";"L ";"7699 "
"630 ";"6 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RV-S-06-G 1/4''-wd-SC ";"59,24 ";"S ";"7700 "
"630 ";"8 ";"G 1/4''  ";"46 ";"31,5 ";"12 ";"19 ";"22 ";"19 ";"RV-S-08-G 1/4''-wd-SC ";"61,8 ";"S ";"7701 "
"630 ";"10 ";"G 3/8''  ";"54 ";"38,0 ";"12 ";"24 ";"27 ";"22 ";"RV-S-10-G 3/8''-wd-SC ";"72,14 ";"S ";"7702 "
"630 ";"12 ";"G 3/8''  ";"57 ";"41,0 ";"12 ";"27 ";"30 ";"24 ";"RV-S-12-G 3/8''-wd-SC ";"77,53 ";"S ";"7703 "
"630 ";"14 ";"G 1/2''  ";"62 ";"44,5 ";"14 ";"27 ";"32 ";"27 ";"RV-S-14-G 1/2''-wd-SC ";"88,48 ";"S ";"7704 "
"400 ";"16 ";"G 1/2''  ";"66 ";"48,0 ";"14 ";"32 ";"36 ";"30 ";"RV-S-16-G 1/2''-wd-SC ";"106,38 ";"S ";"7705 "
"400 ";"20 ";"G 3/4''  ";"74 ";"52,0 ";"16 ";"41 ";"46 ";"36 ";"RV-S-20-G 3/4''-wd-SC ";"168,05 ";"S ";"7706 "
"400 ";"25 ";"G 1''  ";"79 ";"54,5 ";"18 ";"46 ";"50 ";"46 ";"RV-S-25-G 1''-wd-SC ";"215,19 ";"S ";"7707 "
"250 ";"30 ";"G 1 1/4''  ";"91 ";"64,0 ";"20 ";"55 ";"60 ";"50 ";"RV-S-30-G 1 1/4''-wd-SC ";"310,94 ";"S ";"7708 "
"250 ";"38 ";"G 1 1/2''  ";"100 ";"69,5 ";"22 ";"65 ";"70 ";"60 ";"RV-S-38-G 1 1/2''-wd-SC ";"419,79 ";"S ";"7709 "
