"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"G 1/8''  ";"26,5 ";"33,5 ";"8 ";"17 ";"17 ";"RZ-L-06-G 1/8''-wd-OMD ";"51,38 ";"L ";"7590 "
"250 ";"8 ";"G 1/4''  ";"28,5 ";"35,5 ";"12 ";"19 ";"17 ";"RZ-L-08-G 1/4''-wd-OMD ";"56 ";"L ";"7591 "
"250 ";"10 ";"G 1/4''  ";"38,5 ";"45,5 ";"12 ";"24 ";"22 ";"RZ-L-10-G 1/4''-wd-OMD ";"65,67 ";"L ";"7592 "
"250 ";"12 ";"G 3/8''  ";"40,5 ";"47,5 ";"12 ";"30 ";"27 ";"RZ-L-12-G 3/8''-wd-OMD ";"77,92 ";"L ";"7593 "
"250 ";"15 ";"G 1/2''  ";"42,5 ";"49,5 ";"14 ";"30 ";"27 ";"RZ-L-15-G 1/2''-wd-OMD ";"86,89 ";"L ";"7594 "
"160 ";"18 ";"G 1/2''  ";"48,0 ";"55,5 ";"14 ";"36 ";"36 ";"RZ-L-18-G 1/2''-wd-OMD ";"111,54 ";"L ";"7595 "
"160 ";"22 ";"G 3/4''  ";"56,0 ";"63,5 ";"16 ";"46 ";"41 ";"RZ-L-22-G 3/4''-wd-OMD ";"161,49 ";"L ";"7596 "
"100 ";"28 ";"G 1''  ";"64,0 ";"71,5 ";"18 ";"55 ";"50 ";"RZ-L-28-G 1''-wd-OMD ";"217,79 ";"L ";"7597 "
"100 ";"35 ";"G 1 1/4''  ";"70,0 ";"80,5 ";"20 ";"60 ";"60 ";"RZ-L-35-G 1 1/4''-wd-OMD ";"313,79 ";"L ";"7598 "
"100 ";"42 ";"G 1 1/2''  ";"71,5 ";"82,5 ";"22 ";"70 ";"65 ";"RZ-L-42-G 1 1/2''-wd-OMD ";"445,52 ";"L ";"7599 "
"630 ";"6 ";"G 1/4''  ";"31,5 ";"38,5 ";"12 ";"19 ";"19 ";"RZ-S-06-G 1/4''-wd-OMD ";"56,01 ";"S ";"7600 "
"630 ";"8 ";"G 1/4''  ";"31,5 ";"38,5 ";"12 ";"22 ";"19 ";"RZ-S-08-G 1/4''-wd-OMD ";"58,16 ";"S ";"7601 "
"630 ";"10 ";"G 3/8''  ";"38,0 ";"45,5 ";"12 ";"27 ";"24 ";"RZ-S-10-G 3/8''-wd-OMD ";"67,64 ";"S ";"7602 "
"630 ";"12 ";"G 3/8''  ";"41,0 ";"48,5 ";"12 ";"30 ";"27 ";"RZ-S-12-G 3/8''-wd-OMD ";"72,24 ";"S ";"7603 "
"630 ";"14 ";"G 1/2''  ";"43,5 ";"51,5 ";"14 ";"32 ";"27 ";"RZ-S-14-G 1/2''-wd-OMD ";"81,42 ";"S ";"7604 "
"400 ";"16 ";"G 1/2''  ";"46,0 ";"54,5 ";"14 ";"36 ";"32 ";"RZ-S-16-G 1/2''-wd-OMD ";"96,61 ";"S ";"7605 "
"400 ";"20 ";"G 3/4''  ";"50,0 ";"60,5 ";"16 ";"46 ";"41 ";"RZ-S-20-G 3/4''-wd-OMD ";"155,59 ";"S ";"7606 "
"400 ";"25 ";"G 1''  ";"54,5 ";"66,5 ";"18 ";"50 ";"46 ";"RZ-S-25-G 1''-wd-OMD ";"193,57 ";"S ";"7607 "
"250 ";"30 ";"G 1 1/4''  ";"64,0 ";"77,5 ";"20 ";"60 ";"55 ";"RZ-S-30-G 1 1/4''-wd-OMD ";"283,34 ";"S ";"7608 "
"250 ";"38 ";"G 1 1/2''  ";"71,5 ";"87,5 ";"22 ";"70 ";"65 ";"RZ-S-38-G 1 1/2''-wd-OMD ";"382,34 ";"S ";"7609 "
