"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"8 ";"6 ";"43,5 ";"25,5 ";"12 ";"17 ";"14 ";"KOR-L-08/06-SC ";"13,24 ";"L ";"7971 "
"315 ";"10 ";"6 ";"44,0 ";"29,0 ";"12 ";"19 ";"14 ";"KOR-L-10/06-SC ";"13,72 ";"L ";"7972 "
"315 ";"10 ";"8 ";"44,0 ";"29,0 ";"14 ";"19 ";"17 ";"KOR-L-10/08-SC ";"14,63 ";"L ";"7973 "
"315 ";"12 ";"6 ";"44,0 ";"29,0 ";"14 ";"22 ";"14 ";"KOR-L-12/06-SC ";"18,21 ";"L ";"7974 "
"315 ";"12 ";"8 ";"44,0 ";"29,0 ";"14 ";"22 ";"17 ";"KOR-L-12/08-SC ";"19,36 ";"L ";"7975 "
"315 ";"12 ";"10 ";"45,0 ";"30,0 ";"17 ";"22 ";"19 ";"KOR-L-12/10-SC ";"19,71 ";"L ";"7976 "
"315 ";"15 ";"6 ";"45,5 ";"30,5 ";"17 ";"27 ";"14 ";"KOR-L-15/06-SC ";"20,73 ";"L ";"7977 "
"315 ";"15 ";"8 ";"45,5 ";"30,5 ";"17 ";"27 ";"17 ";"KOR-L-15/08-SC ";"21,26 ";"L ";"7978 "
"315 ";"15 ";"10 ";"46,5 ";"31,5 ";"17 ";"27 ";"19 ";"KOR-L-15/10-SC ";"21,77 ";"L ";"7979 "
"315 ";"15 ";"12 ";"46,5 ";"31,5 ";"19 ";"27 ";"22 ";"KOR-L-15/12-SC ";"22,6 ";"L ";"7980 "
"315 ";"18 ";"6 ";"47,5 ";"32,5 ";"19 ";"32 ";"14 ";"KOR-L-18/06-SC ";"25,74 ";"L ";"7981 "
"315 ";"18 ";"8 ";"47,5 ";"32,5 ";"19 ";"32 ";"17 ";"KOR-L-18/08-SC ";"23,68 ";"L ";"7982 "
"315 ";"18 ";"10 ";"48,0 ";"33,0 ";"19 ";"32 ";"19 ";"KOR-L-18/10-SC ";"24,14 ";"L ";"7983 "
"315 ";"18 ";"12 ";"48,0 ";"33,0 ";"19 ";"32 ";"22 ";"KOR-L-18/12-SC ";"26,74 ";"L ";"7984 "
"315 ";"18 ";"15 ";"49,0 ";"34,0 ";"24 ";"32 ";"27 ";"KOR-L-18/15-SC ";"28,64 ";"L ";"7985 "
"160 ";"22 ";"6 ";"50,0 ";"35,0 ";"24 ";"36 ";"14 ";"KOR-L-22/06-SC ";"29,84 ";"L ";"7986 "
"160 ";"22 ";"8 ";"50,0 ";"35,0 ";"24 ";"36 ";"17 ";"KOR-L-22/08-SC ";"28,89 ";"L ";"7987 "
"160 ";"22 ";"10 ";"51,0 ";"36,0 ";"24 ";"36 ";"19 ";"KOR-L-22/10-SC ";"29,81 ";"L ";"7988 "
"160 ";"22 ";"12 ";"51,0 ";"36,0 ";"24 ";"36 ";"22 ";"KOR-L-22/12-SC ";"33,15 ";"L ";"7989 "
"160 ";"22 ";"15 ";"52,0 ";"37,0 ";"24 ";"36 ";"27 ";"KOR-L-22/15-SC ";"37,1 ";"L ";"7990 "
"160 ";"22 ";"18 ";"53,0 ";"36,5 ";"27 ";"36 ";"32 ";"KOR-L-22/18-SC ";"41,42 ";"L ";"7991 "
"160 ";"28 ";"6 ";"50,0 ";"35,0 ";"30 ";"41 ";"14 ";"KOR-L-28/06-SC ";"39,49 ";"L ";"7992 "
"160 ";"28 ";"8 ";"50,0 ";"35,0 ";"30 ";"41 ";"17 ";"KOR-L-28/08-SC ";"41,3 ";"L ";"7993 "
"160 ";"28 ";"10 ";"51,0 ";"36,0 ";"30 ";"41 ";"19 ";"KOR-L-28/10-SC ";"42,58 ";"L ";"7994 "
"160 ";"28 ";"12 ";"51,0 ";"36,0 ";"30 ";"41 ";"22 ";"KOR-L-28/12-SC ";"45 ";"L ";"7995 "
"160 ";"28 ";"15 ";"52,0 ";"37,0 ";"30 ";"41 ";"27 ";"KOR-L-28/15-SC ";"46,16 ";"L ";"7996 "
"160 ";"28 ";"18 ";"54,0 ";"37,5 ";"30 ";"41 ";"32 ";"KOR-L-28/18-SC ";"51,45 ";"L ";"7997 "
"160 ";"28 ";"22 ";"55,5 ";"39,0 ";"30 ";"41 ";"36 ";"KOR-L-28/22-SC ";"54,63 ";"L ";"7998 "
"160 ";"35 ";"6 ";"58,0 ";"43,0 ";"36 ";"50 ";"14 ";"KOR-L-35/06-SC ";"60,79 ";"L ";"7999 "
"160 ";"35 ";"8 ";"58,0 ";"43,0 ";"36 ";"50 ";"17 ";"KOR-L-35/08-SC ";"61,43 ";"L ";"8000 "
"160 ";"35 ";"10 ";"59,0 ";"44,0 ";"36 ";"50 ";"19 ";"KOR-L-35/10-SC ";"62,96 ";"L ";"8001 "
"160 ";"35 ";"12 ";"59,0 ";"44,0 ";"36 ";"50 ";"22 ";"KOR-L-35/12-SC ";"63,08 ";"L ";"8002 "
"160 ";"35 ";"15 ";"60,0 ";"45,0 ";"36 ";"50 ";"27 ";"KOR-L-35/15-SC ";"66,16 ";"L ";"8003 "
"160 ";"35 ";"18 ";"61,0 ";"44,5 ";"36 ";"50 ";"32 ";"KOR-L-35/18-SC ";"69,27 ";"L ";"8004 "
"160 ";"35 ";"22 ";"63,0 ";"46,5 ";"36 ";"50 ";"36 ";"KOR-L-35/22-SC ";"69,39 ";"L ";"8005 "
"160 ";"35 ";"28 ";"63,0 ";"46,5 ";"41 ";"50 ";"41 ";"KOR-L-35/28-SC ";"72,19 ";"L ";"8006 "
"160 ";"42 ";"6 ";"59,0 ";"44,0 ";"36 ";"60 ";"14 ";"KOR-L-42/06-SC ";"";"L ";"8007 "
"160 ";"42 ";"8 ";"59,0 ";"44,0 ";"46 ";"60 ";"17 ";"KOR-L-42/08-SC ";"";"L ";"8008 "
"160 ";"42 ";"10 ";"60,0 ";"45,0 ";"46 ";"60 ";"19 ";"KOR-L-42/10-SC ";"78,9 ";"L ";"8009 "
"160 ";"42 ";"12 ";"60,0 ";"45,0 ";"46 ";"60 ";"22 ";"KOR-L-42/12-SC ";"81,57 ";"L ";"8010 "
"160 ";"42 ";"15 ";"61,0 ";"46,0 ";"46 ";"60 ";"27 ";"KOR-L-42/15-SC ";"84,65 ";"L ";"8011 "
"160 ";"42 ";"18 ";"59,0 ";"44,0 ";"46 ";"60 ";"32 ";"KOR-L-42/18-SC ";"85,21 ";"L ";"8012 "
"160 ";"42 ";"22 ";"63,0 ";"46,5 ";"46 ";"60 ";"36 ";"KOR-L-42/22-SC ";"87,89 ";"L ";"8013 "
"160 ";"42 ";"28 ";"64,0 ";"47,5 ";"46 ";"60 ";"41 ";"KOR-L-42/28-SC ";"90,68 ";"L ";"8014 "
