"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"8 ";"6 ";"25,5 ";"35,5 ";"12 ";"17 ";"KOR-L-08/06-OMD ";"10,17 ";"L ";"8017 "
"315 ";"10 ";"6 ";"29,0 ";"36,0 ";"12 ";"19 ";"KOR-L-10/06-OMD ";"10,65 ";"L ";"8018 "
"315 ";"10 ";"8 ";"29,0 ";"36,0 ";"14 ";"19 ";"KOR-L-10/08-OMD ";"10,95 ";"L ";"8019 "
"315 ";"12 ";"6 ";"29,0 ";"36,0 ";"14 ";"22 ";"KOR-L-12/06-OMD ";"15,02 ";"L ";"8020 "
"315 ";"12 ";"8 ";"29,0 ";"36,0 ";"14 ";"22 ";"KOR-L-12/08-OMD ";"15,56 ";"L ";"8021 "
"315 ";"12 ";"10 ";"30,0 ";"37,0 ";"17 ";"22 ";"KOR-L-12/10-OMD ";"15,35 ";"L ";"8022 "
"315 ";"15 ";"6 ";"30,5 ";"37,5 ";"17 ";"27 ";"KOR-L-15/06-OMD ";"17,02 ";"L ";"8023 "
"315 ";"15 ";"8 ";"30,5 ";"37,5 ";"17 ";"27 ";"KOR-L-15/08-OMD ";"16,94 ";"L ";"8024 "
"315 ";"15 ";"10 ";"31,5 ";"38,5 ";"17 ";"27 ";"KOR-L-15/10-OMD ";"16,89 ";"L ";"8025 "
"315 ";"15 ";"12 ";"31,5 ";"38,5 ";"19 ";"27 ";"KOR-L-15/12-OMD ";"17,07 ";"L ";"8026 "
"315 ";"18 ";"6 ";"32,5 ";"39,0 ";"19 ";"32 ";"KOR-L-18/06-OMD ";"21,47 ";"L ";"8027 "
"315 ";"18 ";"8 ";"32,5 ";"39,5 ";"19 ";"32 ";"KOR-L-18/08-OMD ";"18,8 ";"L ";"8028 "
"315 ";"18 ";"10 ";"33,0 ";"40,0 ";"19 ";"32 ";"KOR-L-18/10-OMD ";"18,7 ";"L ";"8029 "
"315 ";"18 ";"12 ";"33,0 ";"40,0 ";"19 ";"32 ";"KOR-L-18/12-OMD ";"20,65 ";"L ";"8030 "
"315 ";"18 ";"15 ";"34,0 ";"41,5 ";"24 ";"32 ";"KOR-L-18/15-OMD ";"20,78 ";"L ";"8031 "
"160 ";"22 ";"6 ";"35,0 ";"42,0 ";"24 ";"36 ";"KOR-L-22/06-OMD ";"25,45 ";"L ";"8032 "
"160 ";"22 ";"8 ";"35,0 ";"42,0 ";"24 ";"36 ";"KOR-L-22/08-OMD ";"23,89 ";"L ";"8033 "
"160 ";"22 ";"10 ";"36,0 ";"43,0 ";"24 ";"36 ";"KOR-L-22/10-OMD ";"24,25 ";"L ";"8034 "
"160 ";"22 ";"12 ";"36,0 ";"43,0 ";"24 ";"36 ";"KOR-L-22/12-OMD ";"26,94 ";"L ";"8035 "
"160 ";"22 ";"15 ";"37,0 ";"44,0 ";"24 ";"36 ";"KOR-L-22/15-OMD ";"29,12 ";"L ";"8036 "
"160 ";"22 ";"18 ";"36,5 ";"44,0 ";"27 ";"36 ";"KOR-L-22/18-OMD ";"29,4 ";"L ";"8037 "
"160 ";"28 ";"6 ";"35,0 ";"42,0 ";"30 ";"41 ";"KOR-L-28/06-OMD ";"34,86 ";"L ";"8038 "
"160 ";"28 ";"8 ";"35,0 ";"42,0 ";"30 ";"41 ";"KOR-L-28/08-OMD ";"36,06 ";"L ";"8039 "
"160 ";"28 ";"10 ";"36,0 ";"43,0 ";"30 ";"41 ";"KOR-L-28/10-OMD ";"36,78 ";"L ";"8040 "
"160 ";"28 ";"12 ";"36,0 ";"43,0 ";"30 ";"41 ";"KOR-L-28/12-OMD ";"38,55 ";"L ";"8041 "
"160 ";"28 ";"15 ";"37,0 ";"44,0 ";"30 ";"41 ";"KOR-L-28/15-OMD ";"37,94 ";"L ";"8042 "
"160 ";"28 ";"18 ";"37,5 ";"45,0 ";"30 ";"41 ";"KOR-L-28/18-OMD ";"39,19 ";"L ";"8043 "
"160 ";"28 ";"22 ";"39,0 ";"46,5 ";"30 ";"41 ";"KOR-L-28/22-OMD ";"40,56 ";"L ";"8044 "
"160 ";"35 ";"6 ";"43,0 ";"";"36 ";"50 ";"KOR-L-35/06-OMD ";"54,44 ";"L ";"8045 "
"160 ";"35 ";"8 ";"43,0 ";"";"36 ";"50 ";"KOR-L-35/08-OMD ";"54,47 ";"L ";"8046 "
"160 ";"35 ";"10 ";"44,0 ";"50,0 ";"36 ";"50 ";"KOR-L-35/10-OMD ";"55,44 ";"L ";"8047 "
"160 ";"35 ";"12 ";"44,0 ";"50,0 ";"36 ";"50 ";"KOR-L-35/12-OMD ";"54,91 ";"L ";"8048 "
"160 ";"35 ";"15 ";"45,0 ";"51,0 ";"36 ";"50 ";"KOR-L-35/15-OMD ";"56,22 ";"L ";"8049 "
"160 ";"35 ";"18 ";"44,5 ";"51,0 ";"36 ";"50 ";"KOR-L-35/18-OMD ";"55,29 ";"L ";"8050 "
"160 ";"35 ";"22 ";"46,5 ";"54,0 ";"36 ";"50 ";"KOR-L-35/22-OMD ";"53,6 ";"L ";"8051 "
"160 ";"35 ";"28 ";"46,5 ";"54,0 ";"41 ";"50 ";"KOR-L-35/28-OMD ";"51,62 ";"L ";"8052 "
"160 ";"42 ";"6 ";"44,0 ";"";"36 ";"60 ";"KOR-L-42/06-OMD ";"";"L ";"8053 "
"160 ";"42 ";"8 ";"44,0 ";"";"46 ";"60 ";"KOR-L-42/08-OMD ";"";"L ";"8054 "
"160 ";"42 ";"10 ";"45,0 ";"52,0 ";"46 ";"60 ";"KOR-L-42/10-OMD ";"70,78 ";"L ";"8055 "
"160 ";"42 ";"12 ";"45,0 ";"52,0 ";"46 ";"60 ";"KOR-L-42/12-OMD ";"72,8 ";"L ";"8056 "
"160 ";"42 ";"15 ";"46,0 ";"53,0 ";"46 ";"60 ";"KOR-L-42/15-OMD ";"74,11 ";"L ";"8057 "
"160 ";"42 ";"18 ";"44,0 ";"53,0 ";"46 ";"60 ";"KOR-L-42/18-OMD ";"70,63 ";"L ";"8058 "
"160 ";"42 ";"22 ";"46,5 ";"54,0 ";"46 ";"60 ";"KOR-L-42/22-OMD ";"71,5 ";"L ";"8059 "
"160 ";"42 ";"28 ";"47,5 ";"55,0 ";"46 ";"60 ";"KOR-L-42/28-OMD ";"69,51 ";"L ";"8060 "
"160 ";"42 ";"35 ";"47,5 ";"58,0 ";"46 ";"60 ";"KOR-L-42/35-OMD ";"68,37 ";"L ";"8061 "
