"Druck  Pressure  PN";"Auﬂengewinde  Male Thread  G";"Innengewinde  Female Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"G 1/8'' ";"G 1/2'' ";"37,0 ";"8,0 ";"20,0 ";"27 ";"B ";"GRI-1/8'' x 1/2'' ";"15,88 ";"";"8082 "
"630 ";"G 1/8'' ";"G 3/8'' ";"32,0 ";"8,0 ";"17,0 ";"24 ";"B ";"GRI-1/8'' x 3/8'' ";"12,78 ";"";"8083 "
"630 ";"G 1/8'' ";"G 1/4'' ";"31,0 ";"8,0 ";"17,0 ";"19 ";"B ";"GRI-1/8'' x 1/4'' ";"10,84 ";"";"8084 "
"630 ";"G 1/4'' ";"G 3/4'' ";"43,0 ";"12,0 ";"22,0 ";"36 ";"B ";"GRI-1/4'' x 3/4'' ";"26,69 ";"";"8085 "
"630 ";"G 1/4'' ";"G 1/2'' ";"40,0 ";"12,0 ";"20,0 ";"27 ";"B ";"GRI-1/4'' x 1/2'' ";"15,88 ";"";"8086 "
"630 ";"G 1/4'' ";"G 3/8'' ";"36,0 ";"12,0 ";"17,0 ";"24 ";"B ";"GRI-1/4'' x 3/8'' ";"14,57 ";"";"8087 "
"630 ";"G 1/4'' ";"G 1/8'' ";"28,0 ";"12,0 ";"12,0 ";"19 ";"B ";"GRI-1/4'' x 1/8'' ";"11,15 ";"";"8088 "
"400 ";"G 3/8'' ";"G 1'' ";"46,5 ";"12,0 ";"24,5 ";"41 ";"B ";"GRI-3/8'' x 1'' ";"31,7 ";"";"8089 "
"400 ";"G 3/8'' ";"G 3/4'' ";"44,0 ";"12,0 ";"22,0 ";"36 ";"B ";"GRI-3/8'' x 3/4'' ";"24,29 ";"";"8090 "
"400 ";"G 3/8'' ";"G 1/2'' ";"41,0 ";"12,0 ";"20,0 ";"27 ";"B ";"GRI-3/8'' x 1/2'' ";"15,85 ";"";"8091 "
"400 ";"G 3/8'' ";"G 1/4'' ";"36,0 ";"12,0 ";"17,0 ";"22 ";"B ";"GRI-3/8'' x 1/4'' ";"13,81 ";"";"8092 "
"250 ";"G 1/2'' ";"G 1 1/4'' ";"53,0 ";"14,0 ";"26,5 ";"55 ";"B ";"GRI-1/2'' x 1 1/4'' ";"98,17 ";"";"8093 "
"400 ";"G 1/2'' ";"G 1'' ";"49,0 ";"14,0 ";"24,5 ";"41 ";"B ";"GRI-1/2'' x 1'' ";"31,7 ";"";"8094 "
"400 ";"G 1/2'' ";"G 3/4'' ";"46,0 ";"14,0 ";"22,0 ";"36 ";"B ";"GRI-1/2'' x 3/4'' ";"23,26 ";"";"8095 "
"400 ";"G 1/2'' ";"G 3/8'' ";"36,0 ";"14,0 ";"17,0 ";"27 ";"B ";"GRI-1/2'' x 3/8'' ";"16,11 ";"";"8096 "
"250 ";"G 3/4'' ";"G 1 1/2'' ";"57,0 ";"16,0 ";"28,5 ";"60 ";"B ";"GRI-3/4'' x 1 1/2'' ";"120,67 ";"";"8097 "
"250 ";"G 3/4'' ";"G 1 1/4'' ";"55,0 ";"16,0 ";"26,5 ";"55 ";"B ";"GRI-3/4'' x 1 1/4'' ";"97,15 ";"";"8098 "
"400 ";"G 3/4'' ";"G 1'' ";"51,0 ";"16,0 ";"24,5 ";"41 ";"B ";"GRI-3/4'' x 1'' ";"35,74 ";"";"8099 "
"400 ";"G 3/4'' ";"G 1/2'' ";"41,0 ";"16,0 ";"20,0 ";"32 ";"B ";"GRI-3/4'' x 1/2'' ";"26,59 ";"";"8100 "
"250 ";"G 1'' ";"G 1 1/2'' ";"59,0 ";"18,0 ";"28,5 ";"60 ";"B ";"GRI-1'' x 1 1/2'' ";"117,6 ";"";"8101 "
"250 ";"G 1'' ";"G 1 1/4'' ";"57,0 ";"18,0 ";"26,5 ";"55 ";"B ";"GRI-1'' x 1 1/4'' ";"95,51 ";"";"8102 "
"400 ";"G 1'' ";"G 3/4'' ";"47,0 ";"18,0 ";"22,0 ";"41 ";"B ";"GRI-1'' x 3/4'' ";"33,23 ";"";"8103 "
"250 ";"G 1 1/4'' ";"G 1 1/2'' ";"60,0 ";"20,0 ";"28,5 ";"60 ";"B ";"GRI-1 1/4'' x 1 1/2'' ";"116,83 ";"";"8104 "
"250 ";"G 1 1/4'' ";"G 1'' ";"52,0 ";"20,0 ";"24,5 ";"50 ";"B ";"GRI-1 1/4'' x 1'' ";"60,84 ";"";"8105 "
"250 ";"G 1 1/2'' ";"G 1 1/4'' ";"58,0 ";"22,0 ";"26,5 ";"55 ";"B ";"GRI-1 1/2'' x 1 1/4'' ";"91,37 ";"";"8106 "
