"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"12,0 ";"19,0 ";"12,0 ";"WV-L-06-OMD ";"11,05 ";"L ";"2940 "
"500 ";"8 ";"14,0 ";"21,0 ";"12,0 ";"WV-L-08-OMD ";"10,84 ";"L ";"2941 "
"500 ";"10 ";"15,0 ";"22,0 ";"14,0 ";"WV-L-10-OMD ";"12,45 ";"L ";"2942 "
"400 ";"12 ";"17,0 ";"24,0 ";"17,0 ";"WV-L-12-OMD ";"14,21 ";"L ";"2943 "
"400 ";"15 ";"21,0 ";"28,0 ";"19,0 ";"WV-L-15-OMD ";"18,66 ";"L ";"2944 "
"400 ";"18 ";"23,5 ";"31,0 ";"24,0 ";"WV-L-18-OMD ";"24,23 ";"L ";"2945 "
"250 ";"22 ";"27,5 ";"35,0 ";"27,0 ";"WV-L-22-OMD ";"31,92 ";"L ";"2946 "
"250 ";"28 ";"30,5 ";"38,0 ";"36,0 ";"WV-L-28-OMD ";"67,45 ";"L ";"2947 "
"250 ";"35 ";"34,5 ";"45,0 ";"41,0 ";"WV-L-35-OMD ";"108,61 ";"L ";"2948 "
"250 ";"42 ";"40,0 ";"51,0 ";"50,0 ";"WV-L-42-OMD ";"182,89 ";"L ";"2949 "
"100 ";"4 ";"11,0 ";"15,0 ";"9,0 ";"WV-LL-04-OMD ";"13,85 ";"LL ";"2937 "
"100 ";"6 ";"9,5 ";"15,0 ";"9,0 ";"WV-LL-06-OMD ";"13,35 ";"LL ";"2938 "
"100 ";"8 ";"11,5 ";"17,0 ";"12,0 ";"WV-LL-08-OMD ";"13,84 ";"LL ";"2939 "
"800 ";"6 ";"16,0 ";"23,0 ";"12,0 ";"WV-S-06-OMD ";"11,55 ";"S ";"2950 "
"800 ";"8 ";"17,0 ";"24,0 ";"14,0 ";"WV-S-08-OMD ";"13,29 ";"S ";"2951 "
"800 ";"10 ";"17,5 ";"25,0 ";"17,0 ";"WV-S-10-OMD ";"15,44 ";"S ";"2952 "
"630 ";"12 ";"21,5 ";"29,0 ";"17,0 ";"WV-S-12-OMD ";"17,61 ";"S ";"2953 "
"630 ";"14 ";"22,0 ";"30,0 ";"19,0 ";"WV-S-14-OMD ";"20,91 ";"S ";"2954 "
"630 ";"16 ";"24,5 ";"33,0 ";"24,0 ";"WV-S-16-OMD ";"25,46 ";"S ";"2955 "
"420 ";"20 ";"26,5 ";"37,0 ";"27,0 ";"WV-S-20-OMD ";"34,83 ";"S ";"2956 "
"420 ";"25 ";"30,0 ";"42,0 ";"36,0 ";"WV-S-25-OMD ";"70,13 ";"S ";"2957 "
"420 ";"30 ";"35,5 ";"49,0 ";"41,0 ";"WV-S-30-OMD ";"103,44 ";"S ";"2958 "
"420 ";"38 ";"41,0 ";"57,0 ";"50,0 ";"WV-S-38-OMD ";"166,8 ";"S ";"2959 "
