"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"14 ";"10 ";"12 ";"XROV-L-06 ";"4,63 ";"L ";"8153 "
"500 ";"8 ";"M 14 x 1,5 ";"15 ";"10 ";"14 ";"XROV-L-08 ";"5,85 ";"L ";"8154 "
"500 ";"10 ";"M 16 x 1,5 ";"16 ";"11 ";"17 ";"XROV-L-10 ";"7,13 ";"L ";"8155 "
"400 ";"12 ";"M 18 x 1,5 ";"17 ";"11 ";"19 ";"XROV-L-12 ";"8,54 ";"L ";"8156 "
"400 ";"15 ";"M 22 x 1,5 ";"18 ";"12 ";"24 ";"XROV-L-15 ";"14,16 ";"L ";"8157 "
"400 ";"18 ";"M 26 x 1,5 ";"19 ";"12 ";"27 ";"XROV-L-18 ";"16,92 ";"L ";"8158 "
"250 ";"22 ";"M 30 x 2 ";"21 ";"14 ";"32 ";"XROV-L-22 ";"22,04 ";"L ";"8159 "
"250 ";"28 ";"M 36 x 2 ";"22 ";"14 ";"41 ";"XROV-L-28 ";"34,92 ";"L ";"8160 "
"250 ";"35 ";"M 45 x 2 ";"25 ";"16 ";"46 ";"XROV-L-35 ";"56,09 ";"L ";"8161 "
"250 ";"42 ";"M 52 x 2 ";"27 ";"16 ";"55 ";"XROV-L-42 ";"65,29 ";"L ";"8162 "
"800 ";"6 ";"M 14 x 1,5 ";"18 ";"12 ";"14 ";"XROV-S-06 ";"5,78 ";"S ";"8163 "
"800 ";"8 ";"M 16 x 1,5 ";"20 ";"12 ";"17 ";"XROV-S-08 ";"7,06 ";"S ";"8164 "
"800 ";"10 ";"M 18 x 1,5 ";"20 ";"12 ";"19 ";"XROV-S-10 ";"8,79 ";"S ";"8165 "
"630 ";"12 ";"M 20 x 1,5 ";"22 ";"12 ";"22 ";"XROV-S-12 ";"10 ";"S ";"8166 "
"630 ";"14 ";"M 22 x 1,5 ";"24 ";"14 ";"24 ";"XROV-S-14 ";"12,88 ";"S ";"8167 "
"630 ";"16 ";"M 24 x 1,5 ";"24 ";"14 ";"27 ";"XROV-S-16 ";"17,36 ";"S ";"8168 "
"420 ";"20 ";"M 30 x 2 ";"28 ";"16 ";"32 ";"XROV-S-20 ";"23,32 ";"S ";"8169 "
"420 ";"25 ";"M 36 x 2 ";"32 ";"18 ";"41 ";"XROV-S-25 ";"39,96 ";"S ";"8170 "
"420 ";"30 ";"M 42 x 2 ";"34 ";"20 ";"46 ";"XROV-S-30 ";"56,6 ";"S ";"8171 "
"420 ";"38 ";"M 52 x 2 ";"39 ";"22 ";"55 ";"XROV-S-38 ";"72,14 ";"S ";"8172 "
