"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"19,0 ";"VKA-L-06 ";"5,01 ";"L ";"8173 "
"500 ";"8 ";"18,5 ";"VKA-L-08 ";"5,32 ";"L ";"8174 "
"500 ";"10 ";"21,0 ";"VKA-L-10 ";"6,14 ";"L ";"8175 "
"400 ";"12 ";"19,0 ";"VKA-L-12 ";"7,26 ";"L ";"8176 "
"400 ";"15 ";"22,0 ";"VKA-L-15 ";"8,1 ";"L ";"8177 "
"400 ";"18 ";"24,0 ";"VKA-L-18 ";"10,48 ";"L ";"8178 "
"250 ";"22 ";"25,0 ";"VKA-L-22 ";"14,32 ";"L ";"8179 "
"250 ";"28 ";"26,0 ";"VKA-L-28 ";"21,01 ";"L ";"8180 "
"250 ";"35 ";"24,0 ";"VKA-L-35 ";"36,51 ";"L ";"8181 "
"250 ";"42 ";"27,0 ";"VKA-L-42 ";"45,63 ";"L ";"8182 "
"800 ";"6 ";"19,0 ";"VKA-S-06 ";"5,01 ";"S ";"8183 "
"800 ";"8 ";"18,5 ";"VKA-S-08 ";"5,32 ";"S ";"8184 "
"800 ";"10 ";"21,0 ";"VKA-S-10 ";"6,14 ";"S ";"8185 "
"630 ";"12 ";"19,0 ";"VKA-S-12 ";"7,26 ";"S ";"8186 "
"630 ";"14 ";"23,5 ";"VKA-S-14 ";"8,18 ";"S ";"8187 "
"630 ";"16 ";"20,0 ";"VKA-S-16 ";"10,23 ";"S ";"8188 "
"420 ";"20 ";"28,0 ";"VKA-S-20 ";"13,7 ";"S ";"8189 "
"420 ";"25 ";"28,0 ";"VKA-S-25 ";"18 ";"S ";"8190 "
"420 ";"30 ";"30,5 ";"VKA-S-30 ";"29,2 ";"S ";"8191 "
"420 ";"38 ";"40,0 ";"VKA-S-38 ";"43,2 ";"S ";"8192 "
