"Druck  Pressure  PN";"Metrisches Feingewinde - Zylindrisch  Thread: Metric - Parallel  G";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"M 8 x 1 ";"12 ";"12,0 ";"8 ";"4 ";"VST-M 8x1-wd ";"15,2 ";"M ";"11547 "
"400 ";"M 10 x 1 ";"14 ";"12,0 ";"8 ";"5 ";"VST-M 10x1-wd ";"8,08 ";"M ";"8193 "
"400 ";"M 12 x 1,5 ";"17 ";"17,0 ";"12 ";"6 ";"VST-M 12x1,5-wd ";"8,59 ";"M ";"8194 "
"400 ";"M 14 x 1,5 ";"19 ";"17,0 ";"12 ";"6 ";"VST-M 14x1,5-wd ";"9,15 ";"M ";"8195 "
"400 ";"M 16 x 1,5 ";"22 ";"17,0 ";"12 ";"8 ";"VST-M 16x1,5-wd ";"9,87 ";"M ";"8196 "
"400 ";"M 18 x 1,5 ";"24 ";"17,0 ";"12 ";"8 ";"VST-M 18x1,5-wd ";"10,53 ";"M ";"8197 "
"400 ";"M 20 x 1,5 ";"26 ";"19,0 ";"14 ";"10 ";"VST-M 20x1,5-wd ";"12,27 ";"M ";"8198 "
"400 ";"M 22 x 1,5 ";"27 ";"19,0 ";"14 ";"10 ";"VST-M 22x1,5-wd ";"13,65 ";"M ";"8199 "
"400 ";"M 26 x 1,5 ";"32 ";"21,0 ";"16 ";"12 ";"VST-M 26x1,5-wd ";"18,2 ";"M ";"8200 "
"400 ";"M 27 x 2 ";"32 ";"21,0 ";"16 ";"12 ";"VST-M 27x2-wd ";"19,53 ";"M ";"8201 "
"400 ";"M 33 x 2 ";"40 ";"22,5 ";"16 ";"17 ";"VST-M 33x2-wd ";"29,35 ";"M ";"8202 "
"315 ";"M 42 x 2 ";"50 ";"22,5 ";"16 ";"22 ";"VST-M 42x2-wd ";"37,84 ";"M ";"8203 "
"315 ";"M 48 x 2 ";"55 ";"22,5 ";"16 ";"24 ";"VST-M 48x2-wd ";"60,84 ";"M ";"8204 "
"400 ";"1/8'' ";"14 ";"12,0 ";"8 ";"5 ";"VST-R 1/8''-wd ";"7,26 ";"R ";"8205 "
"400 ";"1/4'' ";"19 ";"17,0 ";"12 ";"6 ";"VST-R 1/4''-wd ";"8,18 ";"R ";"8206 "
"400 ";"3/8'' ";"22 ";"17,0 ";"12 ";"8 ";"VST-R 3/8''-wd ";"9,46 ";"R ";"8207 "
"400 ";"1/2'' ";"27 ";"19,0 ";"14 ";"10 ";"VST-R 1/2''-wd ";"12,53 ";"R ";"8208 "
"400 ";"3/4'' ";"32 ";"21,0 ";"16 ";"12 ";"VST-R 3/4''-wd ";"17,13 ";"R ";"8209 "
"400 ";"1'' ";"40 ";"22,5 ";"16 ";"17 ";"VST-R 1''-wd ";"26,84 ";"R ";"8210 "
"315 ";"1 1/4'' ";"50 ";"22,5 ";"16 ";"22 ";"VST-R 1 1/4''-wd ";"31,96 ";"R ";"8211 "
"315 ";"1 1/2'' ";"55 ";"22,5 ";"16 ";"24 ";"VST-R 1 1/2''-wd ";"34,77 ";"R ";"8212 "
"250 ";"2'' ";"70 ";"34,0 ";"24 ";"32 ";"VST-R 2''-wd ";"225 ";"R ";"11640 "
