"Rohr-Innendurchmesser  Tube Inside  ";"Ca. Maße  Approx. Dimensions  D";"Ca. Maße  Approx. Dimensions  d";"Ca. Maße  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"4 ";"3,8 ";"2,5 ";"17,0 ";"VSHü-04 ";"1,82 ";"";"8213 "
"5 ";"4,8 ";"3,5 ";"17,0 ";"VSHü-05 ";"1,94 ";"";"8214 "
"6 ";"5,8 ";"4,5 ";"14,0 ";"VSHü-06 ";"2,05 ";"";"8215 "
"7 ";"6,8 ";"5,5 ";"17,0 ";"VSHü-07 ";"2,2 ";"";"8216 "
"8 ";"7,8 ";"6,5 ";"15,5 ";"VSHü-08 ";"2,28 ";"";"8217 "
"9 ";"8,8 ";"7,5 ";"17,0 ";"VSHü-09 ";"2,43 ";"";"8218 "
"10 ";"9,8 ";"8,5 ";"15,5 ";"VSHü-10 ";"2,66 ";"";"8219 "
"11 ";"10,8 ";"9,5 ";"17,0 ";"VSHü-11 ";"2,68 ";"";"8220 "
"12 ";"11,8 ";"10,5 ";"17,0 ";"VSHü-12 ";"2,63 ";"";"8221 "
"13 ";"12,8 ";"11,5 ";"17,0 ";"VSHü-13 ";"3,73 ";"";"8222 "
"14 ";"13,8 ";"12,0 ";"17,0 ";"VSHü-14 ";"3,12 ";"";"8223 "
"15 ";"14,8 ";"13,0 ";"18,0 ";"VSHü-15 ";"3,86 ";"";"8224 "
"16 ";"15,8 ";"14,0 ";"18,0 ";"VSHü-16 ";"3,35 ";"";"8225 "
"17 ";"16,8 ";"15,0 ";"20,0 ";"VSHü-17 ";"5,04 ";"";"8226 "
"18 ";"17,8 ";"16,0 ";"20,0 ";"VSHü-18 ";"4,63 ";"";"8227 "
"19 ";"18,8 ";"17,0 ";"20,0 ";"VSHü-19 ";"5,04 ";"";"8228 "
"20 ";"19,8 ";"18,0 ";"20,0 ";"VSHü-20 ";"4,63 ";"";"8229 "
"21 ";"20,8 ";"19,0 ";"21,5 ";"VSHü-21 ";"";"";"8230 "
"22 ";"21,8 ";"20,0 ";"24,0 ";"VSHü-22 ";"6,31 ";"";"8231 "
"23 ";"22,8 ";"21,0 ";"24,0 ";"VSHü-23 ";"6,31 ";"";"8232 "
"24 ";"23,8 ";"22,0 ";"23,5 ";"VSHü-24 ";"6,95 ";"";"8233 "
"25 ";"24,8 ";"23,0 ";"23,5 ";"VSHü-25 ";"6,72 ";"";"8234 "
"26 ";"25,8 ";"24,0 ";"23,5 ";"VSHü-26 ";"6,65 ";"";"8235 "
"30 ";"29,8 ";"27,8 ";"26,5 ";"VSHü-30 ";"7,64 ";"";"8236 "
"31 ";"30,8 ";"28,0 ";"26,5 ";"VSHü-31 ";"7,23 ";"";"8237 "
"32 ";"31,8 ";"29,5 ";"26,5 ";"VSHü-32 ";"8,08 ";"";"8238 "
"33 ";"32,8 ";"30,0 ";"26,5 ";"VSHü-33 ";"7,49 ";"";"8239 "
"38 ";"37,8 ";"35,0 ";"26,5 ";"VSHü-38 ";"8 ";"";"8240 "
