"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  D2";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  H1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"16,0 ";"10,3 ";"14,9 ";"2,5 ";"1,1 ";"WDS-G 1/8'' ";"13,86 ";"";"11103 "
"G 1/4'' ";"20,0 ";"14,3 ";"18,9 ";"3,0 ";"1,6 ";"WDS-G 1/4'' ";"17,19 ";"";"11105 "
"G 3/8'' ";"24,0 ";"17,0 ";"21,9 ";"3,0 ";"2,1 ";"WDS-G 3/8'' ";"19,26 ";"";"11108 "
"G 1/2'' ";"30,0 ";"22,3 ";"26,9 ";"4,5 ";"2,6 ";"WDS-G 1/2'' ";"25,74 ";"";"11111 "
"G 3/4'' ";"38,0 ";"27,3 ";"32,9 ";"3,5 ";"2,6 ";"WDS-G 3/4'' ";"41,58 ";"";"11115 "
"G 1'' ";"42,0 ";"33,6 ";"39,9 ";"3,5 ";"2,6 ";"WDS-G 1'' ";"51,57 ";"";"11117 "
"G 1 1/4'' ";"49,9 ";"42,4 ";"49,9 ";"3,5 ";"";"WDS-G 1 1/4'' ";"69,93 ";"";"11119 "
"G 1 1/2'' ";"60,0 ";"48,4 ";"55,9 ";"3,5 ";"2,6 ";"WDS-G 1 1/2'' ";"96,39 ";"";"11121 "
"M 10 x 1 ";"16,0 ";"10,3 ";"14,9 ";"2,5 ";"1,1 ";"WDS-10x1 ";"13,86 ";"";"12274 "
"M 12 x 1,5 ";"18,0 ";"12,3 ";"17,0 ";"3,0 ";"1,6 ";"WDS-12x1,5 ";"33,39 ";"";"12275 "
"M 14 x 1,5 ";"20,0 ";"14,3 ";"18,9 ";"3,0 ";"1,6 ";"WDS-14x1,5 ";"17,19 ";"";"12276 "
"M 16 x 1,5 ";"24,0 ";"17,0 ";"21,9 ";"3,0 ";"2,1 ";"WDS-16x1,5 ";"19,26 ";"";"12277 "
"M 18 x 1,5 ";"23,9 ";"18,3 ";"23,9 ";"3,0 ";"";"WDS-18x1,5 ";"20,43 ";"";"12278 "
"M 20 x 1,5 ";"30,0 ";"22,3 ";"26,9 ";"4,5 ";"2,6 ";"WDS-20x1,5 ";"25,74 ";"";"12279 "
"M 22 x 1,5 ";"35,0 ";"26,3 ";"31,9 ";"3,5 ";"2,6 ";"WDS-22x1,5 ";"33,39 ";"";"12280 "
"M 26 x 1,5 ";"38,0 ";"27,3 ";"32,9 ";"3,5 ";"2,6 ";"WDS-26x1,5 ";"41,58 ";"";"12281 "
"M 27 x 2 ";"42,0 ";"33,6 ";"39,9 ";"3,5 ";"2,6 ";"WDS-27x2 ";"51,57 ";"";"12282 "
"M 33 x 2 ";"49,9 ";"42,4 ";"49,9 ";"3,5 ";"";"WDS-33x2 ";"69,93 ";"";"12283 "
"M 42 x 2 ";"60,0 ";"48,4 ";"55,9 ";"3,5 ";"2,6 ";"WDS-42x2 ";"96,39 ";"";"12284 "
