"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"8,4 ";"11,9 ";"1,0 ";"WD-G 1/8'' ";"2,17 ";"";"8349 "
"G 1/4'' ";"11,6 ";"16,5 ";"1,5 ";"WD-G 1/4'' ";"2,2 ";"";"8351 "
"G 3/8'' ";"14,7 ";"18,9 ";"1,5 ";"WD-G 3/8'' ";"2,2 ";"";"8353 "
"G 1/2'' ";"18,5 ";"23,9 ";"1,5 ";"WD-G 1/2'' ";"2,3 ";"";"8356 "
"G 3/4'' ";"23,9 ";"29,2 ";"1,5 ";"WD-G 3/4'' ";"2,3 ";"";"8358 "
"G 1'' ";"29,7 ";"35,7 ";"2,0 ";"WD-G 1'' ";"2,51 ";"";"8360 "
"G 1 1/4'' ";"38,8 ";"45,8 ";"2,0 ";"WD-G 1 1/4'' ";"2,74 ";"";"8361 "
"G 1 1/2'' ";"44,7 ";"50,7 ";"2,0 ";"WD-G 1 1/2'' ";"2,76 ";"";"8362 "
"G 2'' ";"56,5 ";"66,5 ";"4,0 ";"WD-G 2'' ";"7,4 ";"";"11886 "
"M 8 x 1 ";"6,5 ";"9,9 ";"1,0 ";"WD-8x1 ";"2,16 ";"";"11548 "
"M 10 x 1 ";"8,4 ";"11,9 ";"1,0 ";"WD-10x1 ";"2,17 ";"";"12285 "
"M 12 x 1,5 ";"9,8 ";"14,4 ";"1,5 ";"WD-12x1,5 ";"2,2 ";"";"8350 "
"M 14 x 1,5 ";"11,6 ";"16,5 ";"1,5 ";"WD-14x1,5 ";"2,2 ";"";"12286 "
"M 16 x 1,5 ";"13,8 ";"18,9 ";"1,5 ";"WD-16x1,5 ";"2,2 ";"";"8352 "
"M 18 x 1,5 ";"15,7 ";"20,9 ";"1,5 ";"WD-18x1,5 ";"2,2 ";"";"8354 "
"M 20 x 1,5 ";"17,8 ";"22,9 ";"1,5 ";"WD-20x1,5 ";"2,22 ";"";"8355 "
"M 22 x 1,5 ";"19,6 ";"24,3 ";"1,5 ";"WD-22x1,5 ";"2,05 ";"";"8357 "
"M 26 x 1,5 ";"23,9 ";"29,2 ";"1,5 ";"WD-26x1,5 ";"2,3 ";"";"12287 "
"M 27 x 2 ";"23,9 ";"29,2 ";"1,5 ";"WD-27x2'' ";"2,3 ";"";"8359 "
"M 33 x 2 ";"29,7 ";"35,7 ";"2,0 ";"WD-33x2'' ";"2,51 ";"";"12288 "
"M 42 x 2 ";"38,8 ";"45,8 ";"2,0 ";"WD-42x2'' ";"2,74 ";"";"12289 "
"M 48 x 2 ";"44,7 ";"50,7 ";"2,0 ";"WD-48x2'' ";"2,76 ";"";"12290 "
