"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"9,0 ";"SR-L-06/2 K ";"0,59 ";"L ";"8372 "
"8 ";"9,5 ";"SR-L-08/2 K ";"0,69 ";"L ";"8373 "
"10 ";"9,5 ";"SR-L-10/2 K ";"0,97 ";"L ";"8374 "
"12 ";"10,1 ";"SR-L-12/2 K ";"1,1 ";"L ";"8375 "
"15 ";"9,8 ";"SR-L-15/2 K ";"1,35 ";"L ";"8376 "
"18 ";"10,2 ";"SR-L-18/2 K ";"1,51 ";"L ";"8377 "
"22 ";"10,6 ";"SR-L-22/2 K ";"1,69 ";"L ";"8378 "
"28 ";"11,5 ";"SR-L-28/2 K ";"2,58 ";"L ";"8379 "
"35 ";"13,5 ";"SR-L-35/2 K ";"3,78 ";"L ";"8380 "
"42 ";"13,0 ";"SR-L-42/2 K ";"4,32 ";"L ";"8381 "
"4 ";"6,0 ";"SR-LL-04/1 K ";"0,51 ";"LL ";"8369 "
"6 ";"7,0 ";"SR-LL-06/1 K ";"0,64 ";"LL ";"8370 "
"8 ";"7,0 ";"SR-LL-08/1 K ";"0,79 ";"LL ";"8371 "
"12 ";"7,5 ";"SR-LL-12/1 K ";"1,95 ";"LL ";"11887 "
"6 ";"9,0 ";"SR-S-06/2 K ";"0,59 ";"S ";"8382 "
"8 ";"9,5 ";"SR-S-08/2 K ";"0,69 ";"S ";"8383 "
"10 ";"9,5 ";"SR-S-10/2 K ";"0,97 ";"S ";"8384 "
"12 ";"10,1 ";"SR-S-12/2 K ";"1,1 ";"S ";"8385 "
"14 ";"9,5 ";"SR-S-14/2 K ";"1,33 ";"S ";"8386 "
"16 ";"9,8 ";"SR-S-16/2 K ";"1,38 ";"S ";"8387 "
"20 ";"12,7 ";"SR-S-20/2 K ";"1,61 ";"S ";"8388 "
"25 ";"12,7 ";"SR-S-25/2 K ";"2,51 ";"S ";"8389 "
"30 ";"13,0 ";"SR-S-30/2 K ";"3,63 ";"S ";"8390 "
"38 ";"13,1 ";"SR-S-38/2 K ";"3,89 ";"S ";"11916 "
