"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"9,0 ";"SR-L-06/2 K-SPH ";"1,1 ";"L ";"11920 "
"8 ";"9,5 ";"SR-L-08/2 K-SPH ";"1,4 ";"L ";"11921 "
"10 ";"9,5 ";"SR-L-10/2 K-SPH ";"2,05 ";"L ";"11922 "
"12 ";"10,1 ";"SR-L-12/2 K-SPH ";"2,4 ";"L ";"11923 "
"15 ";"9,8 ";"SR-L-15/2 K-SPH ";"3,25 ";"L ";"11924 "
"18 ";"10,2 ";"SR-L-18/2 K-SPH ";"4,85 ";"L ";"11925 "
"22 ";"10,6 ";"SR-L-22/2 K-SPH ";"6,95 ";"L ";"11926 "
"28 ";"11,5 ";"SR-L-28/2 K-SPH ";"9,5 ";"L ";"11927 "
"35 ";"13,5 ";"SR-L-35/2 K-SPH ";"15 ";"L ";"11928 "
"42 ";"13,0 ";"SR-L-42/2 K-SPH ";"22,5 ";"L ";"11929 "
"4 ";"6,0 ";"SR-LL-04/1 K-SPH ";"0,9 ";"LL ";"11913 "
"6 ";"7,0 ";"SR-LL-06/1 K-SPH ";"1,1 ";"LL ";"11917 "
"8 ";"7,0 ";"SR-LL-08/1 K-SPH ";"1,4 ";"LL ";"11918 "
"6 ";"9,0 ";"SR-S-06/2 K-SPH ";"1,1 ";"S ";"11930 "
"8 ";"9,5 ";"SR-S-08/2 K-SPH ";"1,4 ";"S ";"11933 "
"10 ";"9,5 ";"SR-S-10/2 K-SPH ";"2,05 ";"S ";"11942 "
"12 ";"10,1 ";"SR-S-12/2 K-SPH ";"2,4 ";"S ";"11943 "
"14 ";"9,5 ";"SR-S-14/2 K-SPH ";"3,95 ";"S ";"11944 "
"16 ";"9,8 ";"SR-S-16/2 K-SPH ";"4,1 ";"S ";"11941 "
"20 ";"12,7 ";"SR-S-20/2 K-SPH ";"6,1 ";"S ";"11940 "
"25 ";"12,7 ";"SR-S-25/2 K-SPH ";"8,9 ";"S ";"11939 "
"38 ";"13,1 ";"SR-S-38/2 K-SPH ";"21,2 ";"S ";"11946 "
"30 ";"13,0 ";"SR-S-30/2 K-SPH ";"13,05 ";"S ";"11945 "
