"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"DIN 3861  DIN 3861  ";"ISO 8434-1  ISO 8434-1  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"M 12 x 1,5 ";"14,5 ";"14 ";"";"N-L 6 ";"‹WM-L-06 ";"1,72 ";"L ";"8415 "
"8 ";"M 14 x 1,5 ";"14,5 ";"17 ";"";"N-L 8 ";"‹WM-L-08 ";"2,11 ";"L ";"8416 "
"10 ";"M 16 x 1,5 ";"15,5 ";"19 ";"";"N-L 10 ";"‹WM-L-10 ";"2,39 ";"L ";"8417 "
"12 ";"M 18 x 1,5 ";"15,5 ";"22 ";"";"N-L 12 ";"‹WM-L-12 ";"2,79 ";"L ";"8418 "
"15 ";"M 22 x 1,5 ";"17,0 ";"27 ";"";"N-L 15 ";"‹WM-L-15 ";"3,79 ";"L ";"8419 "
"18 ";"M 26 x 1,5 ";"18,0 ";"32 ";"";"N-L 18 ";"‹WM-L-18 ";"7,11 ";"L ";"8420 "
"22 ";"M 30 x 2 ";"20,0 ";"36 ";"";"N-L 22 ";"‹WM-L-22 ";"8,62 ";"L ";"8421 "
"28 ";"M 36 x 2 ";"21,0 ";"41 ";"";"N-L 28 ";"‹WM-L-28 ";"12,27 ";"L ";"8422 "
"35 ";"M 45 x 2 ";"24,0 ";"50 ";"";"N-L 35 ";"‹WM-L-35 ";"17,33 ";"L ";"8423 "
"42 ";"M 52 x 2 ";"24,0 ";"60 ";"";"N-L 42 ";"‹WM-L-42 ";"23,11 ";"L ";"8424 "
"4 ";"M 8 x 1 ";"11,0 ";"10 ";"ALL 4 ";"";"‹WM-LL-04 ";"2,15 ";"LL ";"8412 "
"6 ";"M 10 x 1 ";"12,0 ";"12 ";"ALL 6 ";"";"‹WM-LL-06 ";"2,4 ";"LL ";"8413 "
"8 ";"M 12 x 1 ";"12,5 ";"14 ";"ALL 8 ";"";"‹WM-LL-08 ";"2,71 ";"LL ";"8414 "
"12 ";"M 16 x 1 ";"13,0 ";"19 ";"ALL 12 ";"";"‹WM-LL-12 ";"3,9 ";"LL ";"11889 "
"6 ";"M 14 x 1,5 ";"16,5 ";"17 ";"";"N-S 6 ";"‹WM-S-06 ";"2,2 ";"S ";"8425 "
"8 ";"M 16 x 1,5 ";"16,5 ";"19 ";"";"N-S 8 ";"‹WM-S-08 ";"2,51 ";"S ";"8426 "
"10 ";"M 18 x 1,5 ";"17,5 ";"22 ";"";"N-S 10 ";"‹WM-S-10 ";"2,97 ";"S ";"8427 "
"12 ";"M 20 x 1,5 ";"17,5 ";"24 ";"";"N-S 12 ";"‹WM-S-12 ";"3,35 ";"S ";"8428 "
"14 ";"M 22 x 1,5 ";"20,5 ";"27 ";"";"N-S 14 ";"‹WM-S-14 ";"4,17 ";"S ";"8429 "
"16 ";"M 24 x 1,5 ";"20,5 ";"30 ";"";"N-S 16 ";"‹WM-S-16 ";"6,83 ";"S ";"8430 "
"20 ";"M 30 x 2 ";"24,0 ";"36 ";"";"N-S 20 ";"‹WM-S-20 ";"8,97 ";"S ";"8431 "
"25 ";"M 36 x 2 ";"27,0 ";"46 ";"";"N-S 25 ";"‹WM-S-25 ";"16,11 ";"S ";"8432 "
"30 ";"M 42 x 2 ";"29,0 ";"50 ";"";"N-S 30 ";"‹WM-S-30 ";"19,81 ";"S ";"8433 "
"38 ";"M 52 x 2 ";"32,5 ";"60 ";"";"N-S 38 ";"‹WM-S-38 ";"27,92 ";"S ";"11890 "
"50 ";"M 68 x 2 ";"38,0 ";"80 ";"";"";"‹WM-S-50 ";"210 ";"S ";"11891 "
