"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"27 ";"12,0 ";"12 ";"14 ";"TV-L-06-SC ";"22,59 ";"L ";"2983 "
"500 ";"8 ";"29 ";"14,0 ";"12 ";"17 ";"TV-L-08-SC ";"24,46 ";"L ";"2984 "
"500 ";"10 ";"30 ";"15,0 ";"14 ";"19 ";"TV-L-10-SC ";"28,01 ";"L ";"2985 "
"400 ";"12 ";"32 ";"17,0 ";"17 ";"22 ";"TV-L-12-SC ";"33,38 ";"L ";"2986 "
"400 ";"15 ";"36 ";"21,0 ";"19 ";"27 ";"TV-L-15-SC ";"48,29 ";"L ";"2987 "
"400 ";"18 ";"40 ";"23,5 ";"24 ";"32 ";"TV-L-18-SC ";"66,28 ";"L ";"2988 "
"250 ";"22 ";"44 ";"27,5 ";"27 ";"36 ";"TV-L-22-SC ";"92,1 ";"L ";"2989 "
"250 ";"28 ";"47 ";"30,5 ";"36 ";"41 ";"TV-L-28-SC ";"141,49 ";"L ";"2990 "
"250 ";"35 ";"56 ";"34,5 ";"41 ";"50 ";"TV-L-35-SC ";"243,8 ";"L ";"2991 "
"250 ";"42 ";"63 ";"40,0 ";"50 ";"60 ";"TV-L-42-SC ";"340,19 ";"L ";"2992 "
"800 ";"6 ";"31 ";"16,0 ";"12 ";"17 ";"TV-S-06-SC ";"24,99 ";"S ";"2993 "
"800 ";"8 ";"32 ";"17,0 ";"14 ";"19 ";"TV-S-08-SC ";"27,37 ";"S ";"2994 "
"800 ";"10 ";"34 ";"17,5 ";"17 ";"22 ";"TV-S-10-SC ";"33,89 ";"S ";"2995 "
"630 ";"12 ";"38 ";"21,5 ";"17 ";"24 ";"TV-S-12-SC ";"42,15 ";"S ";"2996 "
"630 ";"14 ";"40 ";"22,0 ";"19 ";"27 ";"TV-S-14-SC ";"48,4 ";"S ";"2997 "
"630 ";"16 ";"43 ";"24,4 ";"24 ";"30 ";"TV-S-16-SC ";"66,45 ";"S ";"2998 "
"420 ";"20 ";"48 ";"26,5 ";"27 ";"36 ";"TV-S-20-SC ";"93,58 ";"S ";"2999 "
"420 ";"25 ";"54 ";"30,0 ";"36 ";"46 ";"TV-S-25-SC ";"154,98 ";"S ";"3000 "
"420 ";"30 ";"62 ";"35,5 ";"41 ";"50 ";"TV-S-30-SC ";"232,59 ";"S ";"3001 "
"420 ";"38 ";"72 ";"41,0 ";"50 ";"60 ";"TV-S-38-SC ";"359,49 ";"S ";"3002 "
