"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"ISO 8434-1  ISO 8434-1  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"M 12 x 1,5 ";"14,5 ";"14 ";"N-L 6 ";"‹WM-L-06-SC ";"2,14 ";"L ";"8435 "
"8 ";"M 14 x 1,5 ";"14,5 ";"17 ";"N-L 8 ";"‹WM-L-08-SC ";"2,68 ";"L ";"8436 "
"10 ";"M 16 x 1,5 ";"15,5 ";"19 ";"N-L 10 ";"‹WM-L-10-SC ";"2,97 ";"L ";"8437 "
"12 ";"M 18 x 1,5 ";"15,5 ";"22 ";"N-L 12 ";"‹WM-L-12-SC ";"3,52 ";"L ";"8438 "
"15 ";"M 22 x 1,5 ";"17,0 ";"27 ";"N-L 15 ";"‹WM-L-15-SC ";"5,11 ";"L ";"8439 "
"18 ";"M 26 x 1,5 ";"18,0 ";"32 ";"N-L 18 ";"‹WM-L-18-SC ";"9,19 ";"L ";"8440 "
"22 ";"M 30 x 2 ";"20,0 ";"36 ";"N-L 22 ";"‹WM-L-22-SC ";"10,9 ";"L ";"8441 "
"28 ";"M 36 x 2 ";"21,0 ";"41 ";"N-L 28 ";"‹WM-L-28-SC ";"14,98 ";"L ";"8442 "
"35 ";"M 45 x 2 ";"24,0 ";"50 ";"N-L 35 ";"‹WM-L-35-SC ";"22,1 ";"L ";"8443 "
"42 ";"M 52 x 2 ";"24,0 ";"60 ";"N-L 42 ";"‹WM-L-42-SC ";"28,8 ";"L ";"8444 "
"6 ";"M 14 x 1,5 ";"16,5 ";"17 ";"N-S 6 ";"‹WM-S-06-SC ";"2,77 ";"S ";"8445 "
"8 ";"M 16 x 1,5 ";"16,5 ";"19 ";"N-S 8 ";"‹WM-S-08-SC ";"3,1 ";"S ";"8446 "
"10 ";"M 18 x 1,5 ";"17,5 ";"22 ";"N-S 10 ";"‹WM-S-10-SC ";"3,71 ";"S ";"8447 "
"12 ";"M 20 x 1,5 ";"17,5 ";"24 ";"N-S 12 ";"‹WM-S-12-SC ";"4,4 ";"S ";"8448 "
"14 ";"M 22 x 1,5 ";"20,5 ";"27 ";"N-S 14 ";"‹WM-S-14-SC ";"6,02 ";"S ";"8449 "
"16 ";"M 24 x 1,5 ";"20,5 ";"30 ";"N-S 16 ";"‹WM-S-16-SC ";"8,81 ";"S ";"8450 "
"20 ";"M 30 x 2 ";"24,0 ";"36 ";"N-S 20 ";"‹WM-S-20-SC ";"11,39 ";"S ";"8451 "
"25 ";"M 36 x 2 ";"27,0 ";"46 ";"N-S 25 ";"‹WM-S-25-SC ";"20,07 ";"S ";"8452 "
"30 ";"M 42 x 2 ";"29,0 ";"50 ";"N-S 30 ";"‹WM-S-30-SC ";"25,17 ";"S ";"8453 "
"38 ";"M 52 x 2 ";"32,5 ";"60 ";"N-S 38 ";"‹WM-S-38-SC ";"35,24 ";"S ";"8454 "
"50 ";"M 68 x 2 ";"38,0 ";"80 ";"";"‹WM-S-50-SC ";"250 ";"S ";"11892 "
