"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"8 ";"6 ";"14 ";"17 ";"14 ";"14 ";"TRV-L-06/08/06-SC ";"37,85 ";"L ";"3196 "
"500 ";"6 ";"8 ";"8 ";"14 ";"17 ";"17 ";"14 ";"TRV-L-06/08/08-SC ";"37,85 ";"L ";"11794 "
"500 ";"6 ";"10 ";"6 ";"14 ";"19 ";"14 ";"17 ";"TRV-L-06/10/06-SC ";"41,28 ";"L ";"3198 "
"500 ";"8 ";"6 ";"8 ";"17 ";"14 ";"17 ";"14 ";"TRV-L-08/06/08-SC ";"37,89 ";"L ";"3197 "
"500 ";"8 ";"10 ";"8 ";"17 ";"19 ";"17 ";"17 ";"TRV-L-08/10/08-SC ";"41,85 ";"L ";"3199 "
"400 ";"8 ";"12 ";"8 ";"17 ";"22 ";"17 ";"17 ";"TRV-L-08/12/08-SC ";"44,78 ";"L ";"3203 "
"500 ";"10 ";"6 ";"10 ";"19 ";"14 ";"19 ";"17 ";"TRV-L-10/06/10-SC ";"41,43 ";"L ";"3200 "
"500 ";"10 ";"8 ";"10 ";"19 ";"17 ";"19 ";"17 ";"TRV-L-10/08/10-SC ";"41,72 ";"L ";"3201 "
"500 ";"10 ";"10 ";"6 ";"19 ";"19 ";"14 ";"17 ";"TRV-L-10/10/06-SC ";"41,43 ";"L ";"3202 "
"400 ";"10 ";"12 ";"10 ";"19 ";"22 ";"19 ";"17 ";"TRV-L-10/12/10-SC ";"45,14 ";"L ";"3210 "
"400 ";"10 ";"15 ";"10 ";"19 ";"27 ";"19 ";"19 ";"TRV-L-10/15/10-SC ";"67,79 ";"L ";"3211 "
"400 ";"12 ";"6 ";"12 ";"22 ";"14 ";"22 ";"17 ";"TRV-L-12/06/12-SC ";"44,81 ";"L ";"3204 "
"400 ";"12 ";"8 ";"8 ";"22 ";"17 ";"17 ";"17 ";"TRV-L-12/08/08-SC ";"44,78 ";"L ";"3205 "
"400 ";"12 ";"8 ";"12 ";"22 ";"17 ";"22 ";"17 ";"TRV-L-12/08/12-SC ";"45,12 ";"L ";"3206 "
"400 ";"12 ";"10 ";"10 ";"22 ";"19 ";"19 ";"17 ";"TRV-L-12/10/10-SC ";"45,14 ";"L ";"3207 "
"400 ";"12 ";"10 ";"12 ";"22 ";"19 ";"22 ";"17 ";"TRV-L-12/10/12-SC ";"45,3 ";"L ";"3208 "
"400 ";"12 ";"12 ";"10 ";"22 ";"22 ";"19 ";"17 ";"TRV-L-12/12/10-SC ";"45,3 ";"L ";"3209 "
"400 ";"12 ";"15 ";"12 ";"22 ";"27 ";"22 ";"19 ";"TRV-L-12/15/12-SC ";"68,38 ";"L ";"3212 "
"400 ";"12 ";"18 ";"12 ";"22 ";"32 ";"22 ";"24 ";"TRV-L-12/18/12-SC ";"87,46 ";"L ";"3220 "
"400 ";"15 ";"6 ";"15 ";"27 ";"14 ";"27 ";"19 ";"TRV-L-15/06/15-SC ";"69,47 ";"L ";"3213 "
"400 ";"15 ";"8 ";"15 ";"27 ";"17 ";"27 ";"19 ";"TRV-L-15/08/15-SC ";"69,59 ";"L ";"3214 "
"400 ";"15 ";"10 ";"15 ";"27 ";"19 ";"27 ";"19 ";"TRV-L-15/10/15-SC ";"69,47 ";"L ";"3215 "
"400 ";"15 ";"12 ";"12 ";"27 ";"22 ";"22 ";"19 ";"TRV-L-15/12/12-SC ";"68,78 ";"L ";"3216 "
"400 ";"15 ";"12 ";"15 ";"27 ";"22 ";"27 ";"19 ";"TRV-L-15/12/15-SC ";"69,66 ";"L ";"3217 "
"400 ";"15 ";"15 ";"12 ";"27 ";"27 ";"22 ";"19 ";"TRV-L-15/15/12-SC ";"69,66 ";"L ";"3218 "
"250 ";"15 ";"22 ";"15 ";"27 ";"36 ";"27 ";"27 ";"TRV-L-15/22/15-SC ";"111,16 ";"L ";"3219 "
"400 ";"18 ";"8 ";"18 ";"32 ";"17 ";"32 ";"24 ";"TRV-L-18/08/18-SC ";"91,77 ";"L ";"3221 "
"400 ";"18 ";"10 ";"10 ";"32 ";"19 ";"19 ";"24 ";"TRV-L-18/10/10-SC ";"87,05 ";"L ";"3222 "
"400 ";"18 ";"10 ";"18 ";"32 ";"19 ";"32 ";"24 ";"TRV-L-18/10/18-SC ";"91,81 ";"L ";"3223 "
"400 ";"18 ";"12 ";"18 ";"32 ";"22 ";"32 ";"24 ";"TRV-L-18/12/18-SC ";"92,02 ";"L ";"3224 "
"400 ";"18 ";"15 ";"18 ";"32 ";"27 ";"32 ";"24 ";"TRV-L-18/15/18-SC ";"93,42 ";"L ";"3225 "
"400 ";"18 ";"18 ";"10 ";"32 ";"32 ";"19 ";"24 ";"TRV-L-18/18/10-SC ";"91,81 ";"L ";"3226 "
"250 ";"22 ";"10 ";"22 ";"36 ";"19 ";"36 ";"27 ";"TRV-L-22/10/22-SC ";"114,02 ";"L ";"3227 "
"250 ";"22 ";"12 ";"22 ";"36 ";"22 ";"36 ";"27 ";"TRV-L-22/12/22-SC ";"114,08 ";"L ";"3228 "
"250 ";"22 ";"15 ";"15 ";"36 ";"27 ";"27 ";"27 ";"TRV-L-22/15/15-SC ";"111,16 ";"L ";"3229 "
"250 ";"22 ";"15 ";"22 ";"36 ";"27 ";"36 ";"27 ";"TRV-L-22/15/22-SC ";"115,35 ";"L ";"3230 "
"250 ";"22 ";"18 ";"18 ";"36 ";"32 ";"32 ";"27 ";"TRV-L-22/18/18-SC ";"118,51 ";"L ";"3231 "
"250 ";"22 ";"18 ";"22 ";"36 ";"32 ";"36 ";"27 ";"TRV-L-22/18/22-SC ";"119,02 ";"L ";"3232 "
"250 ";"22 ";"22 ";"15 ";"36 ";"36 ";"27 ";"27 ";"TRV-L-22/22/15-SC ";"119,02 ";"L ";"11814 "
"250 ";"28 ";"10 ";"28 ";"41 ";"19 ";"41 ";"36 ";"TRV-L-28/10/28-SC ";"177,02 ";"L ";"3234 "
"250 ";"22 ";"22 ";"18 ";"36 ";"36 ";"32 ";"27 ";"TRV-L-22/22/18-SC ";"119,02 ";"L ";"3233 "
"250 ";"28 ";"12 ";"28 ";"41 ";"22 ";"41 ";"36 ";"TRV-L-28/12/28-SC ";"176,79 ";"L ";"3235 "
"250 ";"28 ";"15 ";"28 ";"41 ";"27 ";"41 ";"36 ";"TRV-L-28/15/28-SC ";"177,72 ";"L ";"3236 "
"250 ";"28 ";"18 ";"28 ";"41 ";"32 ";"41 ";"36 ";"TRV-L-28/18/28-SC ";"181,1 ";"L ";"3237 "
"250 ";"28 ";"22 ";"22 ";"41 ";"36 ";"36 ";"36 ";"TRV-L-28/22/22-SC ";"178,25 ";"L ";"3238 "
"250 ";"28 ";"22 ";"28 ";"41 ";"36 ";"41 ";"36 ";"TRV-L-28/22/28-SC ";"182,01 ";"L ";"3239 "
"250 ";"28 ";"28 ";"22 ";"41 ";"41 ";"36 ";"36 ";"TRV-L-28/28/22-SC ";"182,01 ";"L ";"11803 "
"250 ";"28 ";"35 ";"28 ";"41 ";"50 ";"41 ";"41 ";"TRV-L-28/35/28-SC ";"231,08 ";"L ";"3240 "
"250 ";"35 ";"10 ";"35 ";"50 ";"19 ";"50 ";"41 ";"TRV-L-35/10/35-SC ";"225,1 ";"L ";"11844 "
"250 ";"35 ";"12 ";"35 ";"50 ";"22 ";"50 ";"41 ";"TRV-L-35/12/35-SC ";"225,1 ";"L ";"3241 "
"250 ";"35 ";"15 ";"35 ";"50 ";"27 ";"50 ";"41 ";"TRV-L-35/15/35-SC ";"225,67 ";"L ";"3242 "
"250 ";"35 ";"18 ";"35 ";"50 ";"32 ";"50 ";"41 ";"TRV-L-35/18/35-SC ";"226,27 ";"L ";"3243 "
"250 ";"35 ";"22 ";"35 ";"50 ";"36 ";"50 ";"41 ";"TRV-L-35/22/35-SC ";"227,29 ";"L ";"3244 "
"250 ";"35 ";"28 ";"35 ";"50 ";"41 ";"50 ";"41 ";"TRV-L-35/28/35-SC ";"232,21 ";"L ";"3245 "
"250 ";"35 ";"42 ";"35 ";"50 ";"60 ";"50 ";"50 ";"TRV-L-35/42/35-SC ";"317,11 ";"L ";"3246 "
"250 ";"42 ";"12 ";"42 ";"60 ";"22 ";"60 ";"50 ";"TRV-L-42/12/42-SC ";"324,72 ";"L ";"11806 "
"250 ";"42 ";"15 ";"42 ";"60 ";"27 ";"60 ";"50 ";"TRV-L-42/15/42-SC ";"324,72 ";"L ";"3247 "
"250 ";"42 ";"18 ";"42 ";"60 ";"32 ";"60 ";"50 ";"TRV-L-42/18/42-SC ";"325,28 ";"L ";"11845 "
"250 ";"42 ";"22 ";"42 ";"60 ";"36 ";"60 ";"50 ";"TRV-L-42/22/42-SC ";"309,88 ";"L ";"11846 "
"250 ";"42 ";"28 ";"42 ";"60 ";"41 ";"60 ";"50 ";"TRV-L-42/28/42-SC ";"314,41 ";"L ";"11816 "
"250 ";"42 ";"35 ";"42 ";"60 ";"50 ";"60 ";"50 ";"TRV-L-42/35/42-SC ";"322,86 ";"L ";"11819 "
