"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L8";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"8 ";"";"";"";"";"";"14 ";"TRV-S-08/06/08-OMD ";"33,81 ";"S ";"3102 "
"800 ";"10 ";"6 ";"10 ";"17,5 ";"18,0 ";"17,5 ";"25,0 ";"25,0 ";"17 ";"TRV-S-10/06/10-OMD ";"33,26 ";"S ";"3103 "
"800 ";"10 ";"8 ";"10 ";"";"";"";"";"";"17 ";"TRV-S-10/08/10-OMD ";"33,47 ";"S ";"3104 "
"630 ";"12 ";"6 ";"12 ";"";"";"";"";"";"17 ";"TRV-S-12/06/12-OMD ";"43,11 ";"S ";"3105 "
"630 ";"12 ";"8 ";"8 ";"21,5 ";"22,0 ";"22,0 ";"29,0 ";"29,0 ";"17 ";"TRV-S-12/08/08-OMD ";"43,55 ";"S ";"3106 "
"630 ";"12 ";"8 ";"12 ";"21,5 ";"22,0 ";"21,5 ";"29,0 ";"29,0 ";"17 ";"TRV-S-12/08/12-OMD ";"42,76 ";"S ";"3107 "
"630 ";"12 ";"10 ";"12 ";"21,5 ";"21,5 ";"21,5 ";"29,0 ";"29,0 ";"17 ";"TRV-S-12/10/12-OMD ";"42,53 ";"S ";"3108 "
"630 ";"12 ";"16 ";"12 ";"25,5 ";"24,5 ";"25,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-12/16/12-OMD ";"68,66 ";"S ";"3109 "
"630 ";"14 ";"8 ";"14 ";"";"";"";"";"";"19 ";"TRV-S-14/08/14-OMD ";"61,6 ";"S ";"3110 "
"630 ";"14 ";"10 ";"14 ";"22,0 ";"22,5 ";"22,0 ";"30,0 ";"30,0 ";"19 ";"TRV-S-14/10/14-OMD ";"60,86 ";"S ";"3111 "
"630 ";"16 ";"6 ";"16 ";"24,5 ";"26,0 ";"24,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/06/16-OMD ";"69,04 ";"S ";"3112 "
"630 ";"16 ";"8 ";"16 ";"24,5 ";"26,0 ";"24,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/08/16-OMD ";"68,44 ";"S ";"3113 "
"630 ";"16 ";"10 ";"16 ";"24,5 ";"25,5 ";"24,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/10/16-OMD ";"67,88 ";"S ";"3114 "
"630 ";"16 ";"12 ";"12 ";"24,5 ";"25,5 ";"25,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/12/12-OMD ";"69,03 ";"S ";"3115 "
"630 ";"16 ";"12 ";"16 ";"24,5 ";"25,5 ";"24,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/12/16-OMD ";"67,35 ";"S ";"3116 "
"630 ";"16 ";"14 ";"16 ";"24,5 ";"25,0 ";"24,5 ";"33,0 ";"33,0 ";"24 ";"TRV-S-16/14/16-OMD ";"69,03 ";"S ";"3117 "
"420 ";"16 ";"20 ";"16 ";"28,5 ";"26,5 ";"28,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-16/20/16-OMD ";"85,8 ";"S ";"3118 "
"420 ";"20 ";"8 ";"20 ";"26,5 ";"30,0 ";"26,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-20/08/20-OMD ";"86,44 ";"S ";"3119 "
"420 ";"20 ";"10 ";"20 ";"26,5 ";"29,5 ";"26,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-20/10/20-OMD ";"85,78 ";"S ";"3120 "
"420 ";"20 ";"12 ";"20 ";"26,5 ";"29,5 ";"26,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-20/12/20-OMD ";"85,09 ";"S ";"3121 "
"420 ";"20 ";"14 ";"20 ";"26,5 ";"29,0 ";"26,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-20/14/20-OMD ";"86,84 ";"S ";"3122 "
"420 ";"20 ";"16 ";"20 ";"26,5 ";"28,5 ";"26,5 ";"37,0 ";"37,0 ";"27 ";"TRV-S-20/16/20-OMD ";"84,15 ";"S ";"3123 "
"420 ";"20 ";"25 ";"20 ";"31,5 ";"30,0 ";"31,5 ";"42,0 ";"42,0 ";"36 ";"TRV-S-20/25/20-OMD ";"137,56 ";"S ";"3124 "
"420 ";"25 ";"10 ";"25 ";"30,0 ";"32,5 ";"30,0 ";"40,0 ";"42,0 ";"36 ";"TRV-S-25/10/25-OMD ";"141,22 ";"S ";"3125 "
"420 ";"25 ";"12 ";"25 ";"30,0 ";"32,5 ";"30,0 ";"40,0 ";"42,0 ";"36 ";"TRV-S-25/12/25-OMD ";"140,81 ";"S ";"3126 "
"420 ";"25 ";"14 ";"25 ";"";"";"";"";"";"36 ";"TRV-S-25/14/25-OMD ";"141,62 ";"S ";"3127 "
"420 ";"25 ";"16 ";"25 ";"30,0 ";"31,5 ";"30,0 ";"40,0 ";"42,0 ";"36 ";"TRV-S-25/16/25-OMD ";"138,91 ";"S ";"3128 "
"420 ";"25 ";"20 ";"25 ";"30,0 ";"29,5 ";"30,0 ";"40,0 ";"42,0 ";"36 ";"TRV-S-25/20/25-OMD ";"137,66 ";"S ";"3129 "
"420 ";"25 ";"30 ";"25 ";"37,0 ";"35,5 ";"37,0 ";"49,0 ";"49,0 ";"41 ";"TRV-S-25/30/25-OMD ";"174,86 ";"S ";"3130 "
"420 ";"30 ";"12 ";"30 ";"35,5 ";"38,5 ";"35,5 ";"46,0 ";"49,0 ";"41 ";"TRV-S-30/12/30-OMD ";"171,17 ";"S ";"3131 "
"420 ";"30 ";"16 ";"30 ";"35,5 ";"38,5 ";"35,5 ";"47,0 ";"49,0 ";"41 ";"TRV-S-30/16/30-OMD ";"167,65 ";"S ";"3132 "
"420 ";"30 ";"20 ";"30 ";"35,5 ";"36,5 ";"35,5 ";"47,0 ";"49,0 ";"41 ";"TRV-S-30/20/30-OMD ";"166,51 ";"S ";"3133 "
"420 ";"30 ";"25 ";"30 ";"35,5 ";"37,0 ";"35,5 ";"49,0 ";"49,0 ";"41 ";"TRV-S-30/25/30-OMD ";"167,77 ";"S ";"3134 "
"420 ";"30 ";"38 ";"30 ";"43,5 ";"41,0 ";"43,5 ";"57,0 ";"57,0 ";"50 ";"TRV-S-30/38/30-OMD ";"237,77 ";"S ";"3135 "
"420 ";"38 ";"12 ";"38 ";"41,0 ";"33,5 ";"41,0 ";"54,0 ";"57,0 ";"50 ";"TRV-S-38/12/38-OMD ";"237,58 ";"S ";"11787 "
"420 ";"38 ";"16 ";"38 ";"41,0 ";"32,5 ";"41,0 ";"54,0 ";"57,0 ";"50 ";"TRV-S-38/16/38-OMD ";"237,51 ";"S ";"3136 "
"420 ";"38 ";"20 ";"38 ";"41,0 ";"46,5 ";"41,0 ";"57,0 ";"57,0 ";"50 ";"TRV-S-38/20/38-OMD ";"236,08 ";"S ";"3137 "
"420 ";"38 ";"25 ";"38 ";"41,0 ";"45,0 ";"41,0 ";"57,0 ";"57,0 ";"50 ";"TRV-S-38/25/38-OMD ";"236,95 ";"S ";"3138 "
"420 ";"38 ";"30 ";"38 ";"41,0 ";"43,5 ";"41,0 ";"57,0 ";"57,0 ";"50 ";"TRV-S-38/30/38-OMD ";"237,18 ";"S ";"11789 "
