"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"27 ";"12,0 ";"";"12 ";"14 ";"KV-L-06 ";"40,6 ";"L ";"3311 "
"315 ";"8 ";"29 ";"14,0 ";"";"12 ";"17 ";"KV-L-08 ";"44,38 ";"L ";"3312 "
"315 ";"10 ";"30 ";"15,0 ";"";"14 ";"19 ";"KV-L-10 ";"56,75 ";"L ";"3313 "
"315 ";"12 ";"32 ";"17,0 ";"";"17 ";"22 ";"KV-L-12 ";"60,41 ";"L ";"3314 "
"315 ";"15 ";"36 ";"21,0 ";"";"19 ";"27 ";"KV-L-15 ";"77,77 ";"L ";"3315 "
"315 ";"18 ";"40 ";"23,5 ";"";"24 ";"32 ";"KV-L-18 ";"112,49 ";"L ";"3316 "
"160 ";"22 ";"44 ";"27,5 ";"";"27 ";"36 ";"KV-L-22 ";"151,34 ";"L ";"3317 "
"160 ";"28 ";"47 ";"30,5 ";"";"36 ";"41 ";"KV-L-28 ";"208,1 ";"L ";"3318 "
"160 ";"35 ";"56 ";"34,5 ";"";"41 ";"50 ";"KV-L-35 ";"268,43 ";"L ";"3319 "
"160 ";"42 ";"63 ";"40,0 ";"";"50 ";"60 ";"KV-L-42 ";"414,15 ";"L ";"3320 "
"100 ";"4 ";"21 ";"11,0 ";"";"7 ";"10 ";"KV-LL-04 ";"40,14 ";"LL ";"3308 "
"100 ";"6 ";"21 ";"9,5 ";"";"9 ";"12 ";"KV-LL-06 ";"40,14 ";"LL ";"3309 "
"100 ";"8 ";"23 ";"11,5 ";"";"12 ";"14 ";"KV-LL-08 ";"40,96 ";"LL ";"3310 "
"630 ";"6 ";"31 ";"16,0 ";"";"12 ";"17 ";"KV-S-06 ";"44,99 ";"S ";"3321 "
"630 ";"8 ";"32 ";"17,0 ";"";"14 ";"19 ";"KV-S-08 ";"57,7 ";"S ";"3322 "
"630 ";"10 ";"34 ";"17,5 ";"";"17 ";"22 ";"KV-S-10 ";"63,91 ";"S ";"3323 "
"630 ";"12 ";"38 ";"21,5 ";"";"17 ";"24 ";"KV-S-12 ";"75,16 ";"S ";"3324 "
"630 ";"14 ";"40 ";"22,0 ";"";"19 ";"27 ";"KV-S-14 ";"79,25 ";"S ";"3325 "
"400 ";"16 ";"43 ";"24,5 ";"";"24 ";"30 ";"KV-S-16 ";"107,68 ";"S ";"3326 "
"400 ";"20 ";"48 ";"26,5 ";"";"27 ";"36 ";"KV-S-20 ";"149,81 ";"S ";"3327 "
"400 ";"25 ";"54 ";"30,0 ";"";"36 ";"46 ";"KV-S-25 ";"246,45 ";"S ";"3328 "
"400 ";"30 ";"62 ";"35,5 ";"";"41 ";"50 ";"KV-S-30 ";"271,5 ";"S ";"3329 "
"315 ";"38 ";"72 ";"41,0 ";"";"50 ";"60 ";"KV-S-38 ";"465,28 ";"S ";"3330 "
