"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  L5";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"22 ";"7,0 ";"42 ";"27,0 ";"17 ";"14 ";"17 ";"GSV-L-06-SC ";"17,51 ";"L ";"3397 "
"500 ";"8 ";"M 14 x 1,5 ";"23 ";"8,0 ";"42 ";"27,0 ";"19 ";"17 ";"19 ";"GSV-L-08-SC ";"20,82 ";"L ";"3398 "
"500 ";"10 ";"M 16 x 1,5 ";"25 ";"10,0 ";"43 ";"28,0 ";"22 ";"19 ";"22 ";"GSV-L-10-SC ";"25,68 ";"L ";"3399 "
"400 ";"12 ";"M 18 x 1,5 ";"25 ";"10,0 ";"44 ";"29,0 ";"24 ";"22 ";"24 ";"GSV-L-12-SC ";"28,17 ";"L ";"3400 "
"400 ";"15 ";"M 22 x 1,5 ";"27 ";"12,0 ";"46 ";"31,0 ";"27 ";"27 ";"30 ";"GSV-L-15-SC ";"37,18 ";"L ";"3401 "
"400 ";"18 ";"M 26 x 1,5 ";"30 ";"13,5 ";"49 ";"32,5 ";"32 ";"32 ";"36 ";"GSV-L-18-SC ";"57,73 ";"L ";"3402 "
"250 ";"22 ";"M 30 x 2 ";"33 ";"16,5 ";"51 ";"34,5 ";"36 ";"36 ";"41 ";"GSV-L-22-SC ";"72,55 ";"L ";"3403 "
"250 ";"28 ";"M 36 x 2 ";"35 ";"18,5 ";"52 ";"35,5 ";"41 ";"41 ";"46 ";"GSV-L-28-SC ";"101,15 ";"L ";"3404 "
"250 ";"35 ";"M 45 x 2 ";"40 ";"18,5 ";"58 ";"36,5 ";"50 ";"50 ";"55 ";"GSV-L-35-SC ";"140,38 ";"L ";"3405 "
"250 ";"42 ";"M 52 x 2 ";"42 ";"19,0 ";"59 ";"36,0 ";"60 ";"60 ";"65 ";"GSV-L-42-SC ";"185,04 ";"L ";"3406 "
"800 ";"6 ";"M 14 x 1,5 ";"27 ";"12,0 ";"44 ";"29,0 ";"19 ";"17 ";"19 ";"GSV-S-06-SC ";"23,12 ";"S ";"3407 "
"800 ";"8 ";"M 16 x 1,5 ";"28 ";"13,0 ";"44 ";"29,0 ";"22 ";"19 ";"22 ";"GSV-S-08-SC ";"26,55 ";"S ";"3408 "
"800 ";"10 ";"M 18 x 1,5 ";"31 ";"14,5 ";"46 ";"29,5 ";"24 ";"22 ";"24 ";"GSV-S-10-SC ";"30,52 ";"S ";"3409 "
"630 ";"12 ";"M 20 x 1,5 ";"31 ";"14,5 ";"47 ";"30,5 ";"27 ";"24 ";"27 ";"GSV-S-12-SC ";"33,33 ";"S ";"3410 "
"630 ";"14 ";"M 22 x 1,5 ";"35 ";"17,0 ";"50 ";"32,0 ";"30 ";"27 ";"30 ";"GSV-S-14-SC ";"49,14 ";"S ";"3411 "
"630 ";"16 ";"M 24 x 1,5 ";"35 ";"16,5 ";"50 ";"31,5 ";"32 ";"30 ";"32 ";"GSV-S-16-SC ";"57,22 ";"S ";"3412 "
"420 ";"20 ";"M 30 x 2 ";"39 ";"17,5 ";"55 ";"33,5 ";"41 ";"36 ";"41 ";"GSV-S-20-SC ";"83,01 ";"S ";"3413 "
"420 ";"25 ";"M 36 x 2 ";"44 ";"20,0 ";"59 ";"35,0 ";"46 ";"46 ";"46 ";"GSV-S-25-SC ";"126,16 ";"S ";"3414 "
"420 ";"30 ";"M 42 x 2 ";"48 ";"21,5 ";"64 ";"37,5 ";"50 ";"50 ";"50 ";"GSV-S-30-SC ";"146,37 ";"S ";"3415 "
"420 ";"38 ";"M 52 x 2 ";"53 ";"22,0 ";"68 ";"37,0 ";"65 ";"60 ";"65 ";"GSV-S-38-SC ";"226,03 ";"S ";"3416 "
