"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L8";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"7,0 ";"27,0 ";"14,0 ";"34,0 ";"17 ";"17 ";"GSV-L-06-OMD ";"12,25 ";"L ";"3420 "
"500 ";"8 ";"M 14 x 1,5 ";"8,0 ";"27,0 ";"15,0 ";"34,0 ";"19 ";"19 ";"GSV-L-08-OMD ";"14,34 ";"L ";"3421 "
"500 ";"10 ";"M 16 x 1,5 ";"10,0 ";"28,0 ";"17,0 ";"35,0 ";"22 ";"22 ";"GSV-L-10-OMD ";"18,08 ";"L ";"3422 "
"400 ";"12 ";"M 18 x 1,5 ";"10,0 ";"29,0 ";"17,0 ";"36,0 ";"24 ";"24 ";"GSV-L-12-OMD ";"19,27 ";"L ";"3423 "
"400 ";"15 ";"M 22 x 1,5 ";"12,0 ";"31,0 ";"19,0 ";"38,0 ";"27 ";"30 ";"GSV-L-15-OMD ";"24,74 ";"L ";"3424 "
"400 ";"18 ";"M 26 x 1,5 ";"13,5 ";"32,5 ";"21,0 ";"40,0 ";"32 ";"36 ";"GSV-L-18-OMD ";"37,21 ";"L ";"3425 "
"250 ";"22 ";"M 30 x 2 ";"16,5 ";"34,5 ";"24,0 ";"42,0 ";"36 ";"41 ";"GSV-L-22-OMD ";"48,41 ";"L ";"3426 "
"250 ";"28 ";"M 36 x 2 ";"18,5 ";"35,5 ";"26,0 ";"43,0 ";"41 ";"46 ";"GSV-L-28-OMD ";"67,45 ";"L ";"3427 "
"250 ";"35 ";"M 45 x 2 ";"18,5 ";"36,5 ";"29,0 ";"47,0 ";"50 ";"55 ";"GSV-L-35-OMD ";"90,72 ";"L ";"3428 "
"250 ";"42 ";"M 52 x 2 ";"19,0 ";"36,0 ";"30,0 ";"47,0 ";"60 ";"65 ";"GSV-L-42-OMD ";"121,54 ";"L ";"3429 "
"100 ";"4 ";"M 8 x 1 ";"7,0 ";"11,0 ";"9,0 ";"15,0 ";"11 ";"11 ";"GSV-LL-04-OMD ";"11,18 ";"LL ";"3417 "
"100 ";"6 ";"M 10 x 1 ";"6,5 ";"13,5 ";"12,0 ";"19,0 ";"14 ";"14 ";"GSV-LL-06-OMD ";"";"LL ";"3418 "
"100 ";"8 ";"M 12 x 1 ";"";"";"";"";"";"";"GSV-LL-08-OMD ";"";"LL ";"3419 "
"800 ";"6 ";"M 14 x 1,5 ";"12,0 ";"29,0 ";"19,0 ";"36,0 ";"19 ";"19 ";"GSV-S-06-OMD ";"16,66 ";"S ";"3430 "
"800 ";"8 ";"M 16 x 1,5 ";"13,0 ";"29,0 ";"20,0 ";"36,0 ";"22 ";"22 ";"GSV-S-08-OMD ";"19,27 ";"S ";"3431 "
"800 ";"10 ";"M 18 x 1,5 ";"14,5 ";"29,5 ";"22,0 ";"37,0 ";"24 ";"24 ";"GSV-S-10-OMD ";"21,52 ";"S ";"3432 "
"630 ";"12 ";"M 20 x 1,5 ";"14,5 ";"30,5 ";"22,0 ";"38,0 ";"27 ";"27 ";"GSV-S-12-OMD ";"22,75 ";"S ";"3433 "
"630 ";"14 ";"M 22 x 1,5 ";"17,0 ";"32,0 ";"25,0 ";"40,0 ";"30 ";"30 ";"GSV-S-14-OMD ";"35,02 ";"S ";"3434 "
"630 ";"16 ";"M 24 x 1,5 ";"16,5 ";"31,5 ";"25,0 ";"40,0 ";"32 ";"32 ";"GSV-S-16-OMD ";"37,68 ";"S ";"3435 "
"420 ";"20 ";"M 30 x 2 ";"17,5 ";"33,5 ";"28,0 ";"44,0 ";"41 ";"41 ";"GSV-S-20-OMD ";"58,09 ";"S ";"3436 "
"420 ";"25 ";"M 36 x 2 ";"20,0 ";"35,0 ";"32,0 ";"47,0 ";"46 ";"46 ";"GSV-S-25-OMD ";"82,92 ";"S ";"3437 "
"420 ";"30 ";"M 42 x 2 ";"21,5 ";"37,5 ";"35,0 ";"51,0 ";"50 ";"50 ";"GSV-S-30-OMD ";"91,17 ";"S ";"3438 "
"420 ";"38 ";"M 52 x 2 ";"22,0 ";"37,0 ";"38,0 ";"53,0 ";"65 ";"65 ";"GSV-S-38-OMD ";"151,47 ";"S ";"3439 "
