"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"14 ";"42 ";"27,0 ";"12 ";"14 ";"17 ";"WSV-L-06 ";"31,19 ";"L ";"3440 "
"315 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"17 ";"42 ";"27,0 ";"12 ";"17 ";"19 ";"WSV-L-08 ";"34,26 ";"L ";"3441 "
"315 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"18 ";"43 ";"28,0 ";"14 ";"19 ";"22 ";"WSV-L-10 ";"40,03 ";"L ";"3442 "
"315 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"20 ";"44 ";"29,0 ";"17 ";"22 ";"24 ";"WSV-L-12 ";"43,79 ";"L ";"3443 "
"315 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"23 ";"46 ";"31,0 ";"19 ";"27 ";"30 ";"WSV-L-15 ";"57,52 ";"L ";"3444 "
"315 ";"18 ";"M 26 x 1,5 ";"40 ";"23,0 ";"24 ";"49 ";"32,5 ";"24 ";"32 ";"36 ";"WSV-L-18 ";"76,69 ";"L ";"3445 "
"160 ";"22 ";"M 30 x 2 ";"44 ";"27,0 ";"30 ";"51 ";"34,5 ";"27 ";"36 ";"41 ";"WSV-L-22 ";"104,82 ";"L ";"3446 "
"160 ";"28 ";"M 36 x 2 ";"47 ";"30,0 ";"34 ";"52 ";"35,5 ";"36 ";"41 ";"46 ";"WSV-L-28 ";"145,72 ";"L ";"3447 "
"160 ";"35 ";"M 45 x 2 ";"56 ";"34,0 ";"39 ";"58 ";"36,5 ";"41 ";"50 ";"55 ";"WSV-L-35 ";"204,52 ";"L ";"3448 "
"160 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"43 ";"59 ";"36,0 ";"50 ";"60 ";"65 ";"WSV-L-42 ";"299,11 ";"L ";"3449 "
"630 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"17 ";"44 ";"29,0 ";"12 ";"17 ";"19 ";"WSV-S-06 ";"38,6 ";"S ";"3450 "
"630 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"18 ";"44 ";"29,0 ";"14 ";"19 ";"22 ";"WSV-S-08 ";"39,73 ";"S ";"3451 "
"630 ";"10 ";"M 18 x 1,5 ";"34 ";"17,0 ";"20 ";"46 ";"29,5 ";"17 ";"22 ";"24 ";"WSV-S-10 ";"42,03 ";"S ";"3452 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,0 ";"21 ";"47 ";"30,5 ";"17 ";"24 ";"27 ";"WSV-S-12 ";"46,53 ";"S ";"3453 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"23 ";"50 ";"32,0 ";"19 ";"27 ";"30 ";"WSV-S-14 ";"58,29 ";"S ";"3454 "
"400 ";"16 ";"M 24 x 1,5 ";"43 ";"24,0 ";"24 ";"50 ";"31,5 ";"24 ";"30 ";"32 ";"WSV-S-16 ";"66,47 ";"S ";"3455 "
"400 ";"20 ";"M 30 x 2 ";"48 ";"26,0 ";"30 ";"55 ";"33,5 ";"27 ";"36 ";"41 ";"WSV-S-20 ";"109,93 ";"S ";"3456 "
"400 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"34 ";"59 ";"35,0 ";"36 ";"46 ";"46 ";"WSV-S-25 ";"166,17 ";"S ";"3457 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"39 ";"64 ";"37,5 ";"41 ";"50 ";"50 ";"WSV-S-30 ";"224,97 ";"S ";"3458 "
"315 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"43 ";"68 ";"37,0 ";"50 ";"60 ";"65 ";"WSV-S-38 ";"340,01 ";"S ";"3459 "
