"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L8";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"12,0 ";"14 ";"27,0 ";"34,0 ";"19,0 ";"12 ";"17 ";"WSV-L-06-OMD ";"26,57 ";"L ";"3480 "
"315 ";"8 ";"M 14 x 1,5 ";"14,0 ";"17 ";"27,0 ";"34,0 ";"21,0 ";"12 ";"19 ";"WSV-L-08-OMD ";"28,66 ";"L ";"3481 "
"315 ";"10 ";"M 16 x 1,5 ";"15,0 ";"18 ";"28,0 ";"35,0 ";"22,0 ";"14 ";"22 ";"WSV-L-10-OMD ";"33,31 ";"L ";"3482 "
"315 ";"12 ";"M 18 x 1,5 ";"17,0 ";"20 ";"29,0 ";"36,0 ";"24,0 ";"17 ";"24 ";"WSV-L-12-OMD ";"36,01 ";"L ";"3483 "
"315 ";"15 ";"M 22 x 1,5 ";"21,0 ";"23 ";"31,0 ";"38,0 ";"28,0 ";"19 ";"30 ";"WSV-L-15-OMD ";"47,24 ";"L ";"3484 "
"315 ";"18 ";"M 26 x 1,5 ";"23,0 ";"24 ";"32,5 ";"40,0 ";"31,0 ";"24 ";"36 ";"WSV-L-18-OMD ";"59,45 ";"L ";"3485 "
"160 ";"22 ";"M 30 x 2 ";"27,0 ";"30 ";"34,5 ";"42,0 ";"35,0 ";"27 ";"41 ";"WSV-L-22-OMD ";"84,2 ";"L ";"3486 "
"160 ";"28 ";"M 36 x 2 ";"30,0 ";"34 ";"35,5 ";"43,0 ";"38,0 ";"36 ";"46 ";"WSV-L-28-OMD ";"116,02 ";"L ";"3487 "
"160 ";"35 ";"M 45 x 2 ";"34,0 ";"39 ";"36,5 ";"47,0 ";"45,0 ";"41 ";"55 ";"WSV-L-35-OMD ";"162,3 ";"L ";"3488 "
"160 ";"42 ";"M 52 x 2 ";"40,0 ";"43 ";"36,0 ";"47,0 ";"51,0 ";"50 ";"65 ";"WSV-L-42-OMD ";"244,25 ";"L ";"3489 "
"630 ";"6 ";"M 14 x 1,5 ";"16,0 ";"17 ";"29,0 ";"36,0 ";"23,0 ";"12 ";"19 ";"WSV-S-06-OMD ";"33,02 ";"S ";"3490 "
"630 ";"8 ";"M 16 x 1,5 ";"17,0 ";"18 ";"29,0 ";"36,0 ";"24,0 ";"14 ";"22 ";"WSV-S-08-OMD ";"33,33 ";"S ";"3491 "
"630 ";"10 ";"M 18 x 1,5 ";"17,0 ";"20 ";"29,5 ";"37,0 ";"25,0 ";"17 ";"24 ";"WSV-S-10-OMD ";"34,15 ";"S ";"3492 "
"630 ";"12 ";"M 20 x 1,5 ";"21,0 ";"21 ";"30,5 ";"38,0 ";"29,0 ";"17 ";"27 ";"WSV-S-12-OMD ";"37,63 ";"S ";"3493 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"23 ";"32,0 ";"40,0 ";"30,0 ";"19 ";"30 ";"WSV-S-14-OMD ";"47,29 ";"S ";"3494 "
"400 ";"16 ";"M 24 x 1,5 ";"24,0 ";"24 ";"31,5 ";"40,0 ";"33,0 ";"24 ";"32 ";"WSV-S-16-OMD ";"50,05 ";"S ";"3495 "
"400 ";"20 ";"M 30 x 2 ";"26,0 ";"30 ";"33,5 ";"44,0 ";"37,0 ";"27 ";"41 ";"WSV-S-20-OMD ";"88,77 ";"S ";"3496 "
"400 ";"25 ";"M 36 x 2 ";"30,0 ";"34 ";"35,0 ";"47,0 ";"42,0 ";"36 ";"46 ";"WSV-S-25-OMD ";"128,93 ";"S ";"3497 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"39 ";"37,5 ";"51,0 ";"49,0 ";"41 ";"50 ";"WSV-S-30-OMD ";"178,09 ";"S ";"3498 "
"315 ";"38 ";"M 52 x 2 ";"41,0 ";"43 ";"37,0 ";"53,0 ";"57,0 ";"50 ";"65 ";"WSV-S-38-OMD ";"276,73 ";"S ";"3499 "
