"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"36,0 ";"19,0 ";"8 ";"14 ";"17 ";"GE-S-06-R 1/8''-k-SC ";"11,64 ";"S ";"4749 "
"630 ";"6 ";"R 1/4'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"17 ";"GE-S-06-R 1/4''-k-SC ";"12 ";"S ";"4750 "
"630 ";"6 ";"R 3/8'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"17 ";"GE-S-06-R 3/8''-k-SC ";"14,97 ";"S ";"4751 "
"630 ";"8 ";"R 1/8'' keg ";"35,0 ";"19,0 ";"8 ";"17 ";"19 ";"GE-S-08-R 1/8''-k-SC ";"14,71 ";"S ";"4752 "
"630 ";"8 ";"R 1/4'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"19 ";"GE-S-08-R 1/4''-k-SC ";"13,94 ";"S ";"4753 "
"630 ";"8 ";"R 3/8'' keg ";"40,0 ";"25,0 ";"12 ";"19 ";"19 ";"GE-S-08-R 3/8''-k-SC ";"15,04 ";"S ";"4754 "
"630 ";"10 ";"R 1/4'' keg ";"41,0 ";"25,0 ";"12 ";"19 ";"22 ";"GE-S-10-R 1/4''-k-SC ";"16,2 ";"S ";"4755 "
"630 ";"10 ";"R 3/8'' keg ";"41,0 ";"25,0 ";"12 ";"19 ";"22 ";"GE-S-10-R 3/8''-k-SC ";"16,67 ";"S ";"4756 "
"630 ";"10 ";"R 1/2'' keg ";"45,0 ";"26,5 ";"14 ";"22 ";"22 ";"GE-S-10-R 1/2''-k-SC ";"18,84 ";"S ";"4757 "
"630 ";"12 ";"R 1/4'' keg ";"43,0 ";"26,5 ";"12 ";"22 ";"24 ";"GE-S-12-R 1/4''-k-SC ";"18,28 ";"S ";"4758 "
"630 ";"12 ";"R 3/8'' keg ";"42,0 ";"25,0 ";"12 ";"22 ";"24 ";"GE-S-12-R 3/8''-k-SC ";"19,22 ";"S ";"4759 "
"630 ";"12 ";"R 1/2'' keg ";"44,0 ";"26,5 ";"14 ";"22 ";"24 ";"GE-S-12-R 1/2''-k-SC ";"18,48 ";"S ";"4760 "
"630 ";"14 ";"R 3/8'' keg ";"46,0 ";"27,0 ";"12 ";"24 ";"27 ";"GE-S-14-R 3/8''-k-SC ";"25,51 ";"S ";"4761 "
"630 ";"14 ";"R 1/2'' keg ";"50,5 ";"32,0 ";"14 ";"24 ";"27 ";"GE-S-14-R 1/2''-k-SC ";"23,09 ";"S ";"4762 "
"400 ";"16 ";"R 3/8'' keg ";"48,0 ";"28,5 ";"12 ";"27 ";"30 ";"GE-S-16-R 3/8''-k-SC ";"29,37 ";"S ";"4763 "
"400 ";"16 ";"R 1/2'' keg ";"49,0 ";"29,0 ";"14 ";"27 ";"30 ";"GE-S-16-R 1/2''-k-SC ";"30,96 ";"S ";"4764 "
"400 ";"16 ";"R 3/4'' keg ";"53,0 ";"31,5 ";"16 ";"27 ";"30 ";"GE-S-16-R 3/4''-k-SC ";"41,78 ";"S ";"4765 "
"400 ";"20 ";"R 1/2'' keg ";"54,0 ";"29,5 ";"14 ";"32 ";"36 ";"GE-S-20-R 1/2''-k-SC ";"38,69 ";"S ";"4766 "
"400 ";"20 ";"R 3/4'' keg ";"55,0 ";"33,5 ";"16 ";"32 ";"36 ";"GE-S-20-R 3/4''-k-SC ";"38,95 ";"S ";"4767 "
"160 ";"20 ";"R 1'' keg ";"58,0 ";"35,5 ";"18 ";"36 ";"36 ";"GE-S-20-R 1''-k-SC ";"61,29 ";"S ";"4768 "
"160 ";"25 ";"R 3/4'' keg ";"";"";"16 ";"41 ";"46 ";"GE-S-25-R 3/4''-k-SC ";"";"S ";"4769 "
"160 ";"25 ";"R 1'' keg ";"59,0 ";"33,0 ";"18 ";"41 ";"46 ";"GE-S-25-R 1''-k-SC ";"61,29 ";"S ";"4770 "
"160 ";"30 ";"R 1 1/4'' keg ";"63,0 ";"35,5 ";"20 ";"46 ";"50 ";"GE-S-30-R 1 1/4''-k-SC ";"83,41 ";"S ";"4771 "
"160 ";"38 ";"R 1 1/2'' keg ";"81,0 ";"49,0 ";"22 ";"55 ";"60 ";"GE-S-38-R 1 1/2''-k-SC ";"118,13 ";"S ";"4772 "
