"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"19,0 ";"26,0 ";"8 ";"14 ";"GE-S-06-R 1/8''-k-OMD ";"8,41 ";"S ";"4773 "
"630 ";"6 ";"R 1/4'' keg ";"25,0 ";"32,0 ";"12 ";"17 ";"GE-S-06-R 1/4''-k-OMD ";"8,77 ";"S ";"4774 "
"630 ";"6 ";"R 3/8'' keg ";"25,0 ";"32,0 ";"12 ";"17 ";"GE-S-06-R 3/8''-k-OMD ";"11,61 ";"S ";"4775 "
"630 ";"8 ";"R 1/8'' keg ";"19,0 ";"26,0 ";"8 ";"17 ";"GE-S-08-R 1/8''-k-OMD ";"11,07 ";"S ";"4776 "
"630 ";"8 ";"R 1/4'' keg ";"25,0 ";"32,0 ";"12 ";"17 ";"GE-S-08-R 1/4''-k-OMD ";"10,3 ";"S ";"4777 "
"630 ";"8 ";"R 3/8'' keg ";"25,0 ";"32,0 ";"12 ";"19 ";"GE-S-08-R 3/8''-k-OMD ";"11,4 ";"S ";"4778 "
"630 ";"10 ";"R 1/4'' keg ";"25,0 ";"32,0 ";"12 ";"19 ";"GE-S-10-R 1/4''-k-OMD ";"11,7 ";"S ";"4779 "
"630 ";"10 ";"R 3/8'' keg ";"25,0 ";"32,0 ";"12 ";"19 ";"GE-S-10-R 3/8''-k-OMD ";"12,17 ";"S ";"4780 "
"630 ";"10 ";"R 1/2'' keg ";"26,5 ";"34,0 ";"14 ";"22 ";"GE-S-10-R 1/2''-k-OMD ";"14,34 ";"S ";"4781 "
"630 ";"12 ";"R 1/4'' keg ";"26,5 ";"34,0 ";"12 ";"22 ";"GE-S-12-R 1/4''-k-OMD ";"12,99 ";"S ";"4782 "
"630 ";"12 ";"R 3/8'' keg ";"25,0 ";"32,0 ";"12 ";"22 ";"GE-S-12-R 3/8''-k-OMD ";"13,93 ";"S ";"4783 "
"630 ";"12 ";"R 1/2'' keg ";"26,5 ";"34,0 ";"14 ";"22 ";"GE-S-12-R 1/2''-k-OMD ";"13,19 ";"S ";"4784 "
"630 ";"14 ";"R 3/8'' keg ";"27,0 ";"35,0 ";"12 ";"24 ";"GE-S-14-R 3/8''-k-OMD ";"18,45 ";"S ";"4785 "
"630 ";"14 ";"R 1/2'' keg ";"32,0 ";"38,0 ";"14 ";"24 ";"GE-S-14-R 1/2''-k-OMD ";"16,03 ";"S ";"4786 "
"400 ";"16 ";"R 3/8'' keg ";"28,5 ";"36,0 ";"12 ";"27 ";"GE-S-16-R 3/8''-k-OMD ";"19,6 ";"S ";"4787 "
"400 ";"16 ";"R 1/2'' keg ";"29,0 ";"38,0 ";"14 ";"27 ";"GE-S-16-R 1/2''-k-OMD ";"21,19 ";"S ";"4788 "
"400 ";"16 ";"R 3/4'' keg ";"31,5 ";"40,0 ";"16 ";"27 ";"GE-S-16-R 3/4''-k-OMD ";"31,59 ";"S ";"4789 "
"400 ";"20 ";"R 1/2'' keg ";"29,5 ";"40,0 ";"14 ";"32 ";"GE-S-20-R 1/2''-k-OMD ";"26,23 ";"S ";"4790 "
"400 ";"20 ";"R 3/4'' keg ";"33,5 ";"44,0 ";"16 ";"32 ";"GE-S-20-R 3/4''-k-OMD ";"26,49 ";"S ";"4791 "
"160 ";"20 ";"R 1'' keg ";"35,5 ";"46,0 ";"18 ";"36 ";"GE-S-20-R 1''-k-OMD ";"47,71 ";"S ";"4792 "
"160 ";"25 ";"R 3/4'' keg ";"";"";"16 ";"41 ";"GE-S-25-R 3/4''-k-OMD ";"";"S ";"4793 "
"160 ";"25 ";"R 1'' keg ";"33,0 ";"49,0 ";"18 ";"41 ";"GE-S-25-R 1''-k-OMD ";"39,67 ";"S ";"4794 "
"160 ";"30 ";"R 1 1/4'' keg ";"35,5 ";"49,0 ";"20 ";"46 ";"GE-S-30-R 1 1/4''-k-OMD ";"55,81 ";"S ";"4795 "
"160 ";"38 ";"R 1 1/2'' keg ";"49,0 ";"65,0 ";"22 ";"55 ";"GE-S-38-R 1 1/2''-k-OMD ";"80,68 ";"S ";"4796 "
