"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"16,0 ";"22,0 ";"8 ";"14 ";"GE-L-06-M 10x1-k-OMD ";"7,4 ";"L ";"4827 "
"315 ";"8 ";"M 12 x 1,5 keg ";"20,0 ";"27,0 ";"12 ";"17 ";"GE-L-08-M 12x1,5-k-OMD ";"7,68 ";"L ";"4828 "
"315 ";"10 ";"M 14 x 1,5 keg ";"21,0 ";"28,0 ";"12 ";"17 ";"GE-L-10-M 14x1,5-k-OMD ";"8,66 ";"L ";"4829 "
"315 ";"12 ";"M 16 x 1,5 keg ";"22,0 ";"29,0 ";"12 ";"19 ";"GE-L-12-M 16x1,5-k-OMD ";"10,73 ";"L ";"4830 "
"315 ";"15 ";"M 18 x 1,5 keg ";"23,0 ";"30,0 ";"12 ";"24 ";"GE-L-15-M 18x1,5-k-OMD ";"10,45 ";"L ";"4831 "
"315 ";"18 ";"M 22 x 1,5 keg ";"25,5 ";"33,0 ";"14 ";"27 ";"GE-L-18-M 22x1,5-k-OMD ";"17,18 ";"L ";"4832 "
"100 ";"4 ";"M 6 x 1 keg ";"16,0 ";"20,0 ";"8 ";"10 ";"GE-LL-04-M 6x1-k-OMD ";"5,75 ";"LL ";"4818 "
"100 ";"4 ";"M 8 x 1 keg ";"16,0 ";"20,0 ";"8 ";"10 ";"GE-LL-04-M 8x1-k-OMD ";"5,75 ";"LL ";"4819 "
"100 ";"4 ";"M 10 x 1 keg ";"16,0 ";"20,0 ";"8 ";"11 ";"GE-LL-04-M 10x1-k-OMD ";"6,29 ";"LL ";"4820 "
"100 ";"6 ";"M 6 x 1 keg ";"14,5 ";"20,0 ";"8 ";"11 ";"GE-LL-06-M 6x1-k-OMD ";"6,27 ";"LL ";"4821 "
"100 ";"6 ";"M 8 x 1 keg ";"14,5 ";"20,0 ";"8 ";"11 ";"GE-LL-06-M 8x1-k-OMD ";"6,27 ";"LL ";"4822 "
"100 ";"6 ";"M 10 x 1 keg ";"14,5 ";"20,0 ";"8 ";"11 ";"GE-LL-06-M 10x1-k-OMD ";"6,27 ";"LL ";"4823 "
"100 ";"8 ";"M 6 x 1 keg ";"16,5 ";"22,0 ";"8 ";"12 ";"GE-LL-08-M 6x1-k-OMD ";"6,52 ";"LL ";"4824 "
"100 ";"8 ";"M 8 x 1 keg ";"16,5 ";"22,0 ";"8 ";"12 ";"GE-LL-08-M 8x1-k-OMD ";"6,52 ";"LL ";"4825 "
"100 ";"8 ";"M 10 x 1 keg ";"16,5 ";"22,0 ";"8 ";"12 ";"GE-LL-08-M 10x1-k-OMD ";"6,52 ";"LL ";"4826 "
