"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"7/16''-20 UNF ";"23,5 ";"9,0 ";"9,2 ";"17 ";"14 ";"8,92 x 1,83 ";"GE-L-06-7/16''-UNF ";"22,71 ";"L ";"4833 "
"315 ";"6 ";"1/2''-20 UNF ";"28,0 ";"10,0 ";"9,2 ";"17 ";"14 ";"10,52 x 1,83 ";"GE-L-06-1/2''-UNF ";"22,71 ";"L ";"4834 "
"315 ";"6 ";"9/16''-18 UNF ";"27,5 ";"10,0 ";"10,0 ";"19 ";"14 ";"11,90 x 1,98 ";"GE-L-06-9/16''-UNF ";"22,71 ";"L ";"4835 "
"315 ";"8 ";"7/16''-20 UNF ";"25,0 ";"10,0 ";"9,2 ";"17 ";"17 ";"8,92 x 1,83 ";"GE-L-08-7/16''-UNF ";"23,2 ";"L ";"4836 "
"315 ";"8 ";"1/2''-20 UNF ";"25,0 ";"10,0 ";"9,2 ";"17 ";"17 ";"10,52 x 1,83 ";"GE-L-08-1/2''-UNF ";"23,2 ";"L ";"4837 "
"315 ";"8 ";"9/16''-18 UNF ";"25,0 ";"10,0 ";"10,0 ";"19 ";"17 ";"11,90 x 1,98 ";"GE-L-08-9/16''-UNF ";"23,2 ";"L ";"4838 "
"315 ";"10 ";"7/16''-20 UNF ";"26,0 ";"11,0 ";"9,2 ";"17 ";"19 ";"8,92 x 1,83 ";"GE-L-10-7/16''-UNF ";"23,76 ";"L ";"4839 "
"315 ";"10 ";"1/2''-20 UNF ";"26,0 ";"11,0 ";"9,2 ";"17 ";"19 ";"10,52 x 1,83 ";"GE-L-10-1/2''-UNF ";"23,76 ";"L ";"4840 "
"315 ";"10 ";"9/16''-18 UNF ";"26,0 ";"11,0 ";"10,0 ";"19 ";"19 ";"11,90 x 1,98 ";"GE-L-10-9/16''-UNF ";"23,76 ";"L ";"4841 "
"315 ";"10 ";"3/4''-16 UNF ";"30,5 ";"13,0 ";"11,2 ";"24 ";"19 ";"16,36 x 2,20 ";"GE-L-10-3/4''-UNF ";"25,41 ";"L ";"4842 "
"315 ";"12 ";"9/16''-18 UNF ";"26,0 ";"12,5 ";"10,0 ";"19 ";"22 ";"11,90 x 1,98 ";"GE-L-12-9/16''-UNF ";"23,76 ";"L ";"4843 "
"315 ";"12 ";"3/4''-16 UNF ";"27,0 ";"12,5 ";"11,2 ";"24 ";"22 ";"16,36 x 2,20 ";"GE-L-12-3/4''-UNF ";"25,94 ";"L ";"4844 "
