"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-L-06-7/16''-UNF-OMD ";"20,4 ";"L ";"4897 "
"315 ";"6 ";"1/2''-20 UNF ";"10,52 x 1,83 ";"GE-L-06-1/2''-UNF-OMD ";"20,4 ";"L ";"4898 "
"315 ";"6 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-L-06-9/16''-UNF-OMD ";"20,4 ";"L ";"4899 "
"315 ";"8 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-L-08-7/16''-UNF-OMD ";"20,4 ";"L ";"4900 "
"315 ";"8 ";"1/2''-20 UNF ";"10,52 x 1,83 ";"GE-L-08-1/2''-UNF-OMD ";"20,4 ";"L ";"4901 "
"315 ";"8 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-L-08-9/16''-UNF-OMD ";"20,4 ";"L ";"4902 "
"315 ";"10 ";"7/16''-20 UNF ";"8,92 x 1,83 ";"GE-L-10-7/16''-UNF-OMD ";"20,4 ";"L ";"4903 "
"315 ";"10 ";"1/2''-20 UNF ";"10,52 x 1,83 ";"GE-L-10-1/2''-UNF-OMD ";"20,4 ";"L ";"4904 "
"315 ";"10 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-L-10-9/16''-UNF-OMD ";"20,4 ";"L ";"4905 "
"315 ";"10 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-L-10-3/4''-UNF-OMD ";"22,05 ";"L ";"4906 "
"315 ";"12 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-L-12-9/16''-UNF-OMD ";"20,4 ";"L ";"4907 "
"315 ";"12 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-L-12-3/4''-UNF-OMD ";"22,05 ";"L ";"4908 "
"315 ";"12 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-L-12-7/8''-UNF-OMD ";"22,75 ";"L ";"4909 "
"315 ";"15 ";"9/16''-18 UNF ";"11,90 x 1,98 ";"GE-L-15-9/16''-UNF-OMD ";"23,85 ";"L ";"4910 "
"315 ";"15 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-L-15-3/4''-UNF-OMD ";"22,05 ";"L ";"4911 "
"315 ";"15 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-L-15-7/8''-UNF-OMD ";"22,75 ";"L ";"4912 "
"315 ";"18 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-L-18-3/4''-UNF-OMD ";"23,85 ";"L ";"4913 "
"315 ";"18 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-L-18-7/8''-UNF-OMD ";"23,85 ";"L ";"4914 "
"315 ";"18 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-L-18-1 1/16''-UN-OMD ";"36,8 ";"L ";"4915 "
"160 ";"22 ";"3/4''-16 UNF ";"16,36 x 2,20 ";"GE-L-22-3/4''-UNF-OMD ";"37,7 ";"L ";"4916 "
"160 ";"22 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-L-22-7/8''-UNF-OMD ";"37,7 ";"L ";"4917 "
"160 ";"22 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-L-22-1 1/16''-UN-OMD ";"36,1 ";"L ";"4918 "
"160 ";"22 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-L-22-1 5/16''-UN-OMD ";"54,85 ";"L ";"4919 "
"160 ";"28 ";"7/8''-14 UNF ";"19,18 x 2,46 ";"GE-L-28-7/8''-UNF-OMD ";"65,05 ";"L ";"4920 "
"160 ";"28 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-L-28-1 1/16''-UN-OMD ";"54,8 ";"L ";"4921 "
"160 ";"28 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-L-28-1 5/16''-UN-OMD ";"53,95 ";"L ";"4922 "
"160 ";"28 ";"1 5/8''-12 UN ";"37,46 x 3,00 ";"GE-L-28-1 5/8''-UN-OMD ";"181,65 ";"L ";"4923 "
"160 ";"35 ";"1 1/16''-12 UN ";"23,47 x 2,95 ";"GE-L-35-1 1/16''-UN-OMD ";"144,5 ";"L ";"4924 "
"160 ";"35 ";"1 5/16''-12 UN ";"29,74 x 2,95 ";"GE-L-35-1 5/16''-UN-OMD ";"132,89 ";"L ";"4925 "
"160 ";"35 ";"1 5/8''-12 UN ";"37,46 x 3,00 ";"GE-L-35-1 5/8''-UN-OMD ";"128 ";"L ";"4926 "
"160 ";"42 ";"1 5/8''-12 UN ";"37,46 x 3,00 ";"GE-L-42-1 5/8''-UN-OMD ";"173,57 ";"L ";"4927 "
"160 ";"42 ";"1 7/8''-12 UN ";"43,69 x 3,00 ";"GE-L-42-1 7/8''-UN-OMD ";"173,57 ";"L ";"4928 "
