"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-M 10x1-wd-SC ";"44,17 ";"L ";"8810 "
"500 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-M 12x1,5-wd-SC ";"47,19 ";"L ";"8811 "
"500 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-M 14x1,5-wd-SC ";"56,29 ";"L ";"8812 "
"400 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-M 16x1,5-wd-SC ";"63,37 ";"L ";"8813 "
"400 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"ET-DKOL-15-M 18x1,5-wd-SC ";"84,93 ";"L ";"8814 "
"400 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-M 22x1,5-wd-SC ";"111,96 ";"L ";"8815 "
"250 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-M 26x1,5-wd-SC ";"134,08 ";"L ";"8816 "
"250 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-M 33x2-wd-SC ";"226,26 ";"L ";"8817 "
"250 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-M 42x2-wd-SC ";"321,99 ";"L ";"8818 "
"250 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-M 48x2-wd-SC ";"433,71 ";"L ";"8819 "
"800 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOS-06-M 12x1,5-wd-SC ";"49,27 ";"S ";"8820 "
"800 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-M 14x1,5-wd-SC ";"53,72 ";"S ";"8821 "
"800 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-M 16x1,5-wd-SC ";"64,96 ";"S ";"8822 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"ET-DKOS-12-M 18x1,5-wd-SC ";"70,68 ";"S ";"8823 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-M 20x1,5-wd-SC ";"90,5 ";"S ";"8824 "
"630 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-M 22x1,5-wd-SC ";"112,51 ";"S ";"8825 "
"420 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-M 27x2-wd-SC ";"145,9 ";"S ";"8826 "
"420 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-M 33x2-wd-SC ";"230,77 ";"S ";"8827 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-M 42x2-wd-SC ";"297,03 ";"S ";"8828 "
"420 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-M 48x2-wd-SC ";"440,59 ";"S ";"8829 "
