"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"M 14 x 1,5 ";"38 ";"23,5 ";"12 ";"17 ";"14 ";"RED-DKOL-08/06 ";"16,11 ";"L ";"9090 "
"500 ";"10 ";"6 ";"M 16 x 1,5 ";"40 ";"25,0 ";"14 ";"19 ";"14 ";"RED-DKOL-10/06 ";"16,72 ";"L ";"9091 "
"500 ";"10 ";"8 ";"M 16 x 1,5 ";"40 ";"25,0 ";"14 ";"19 ";"17 ";"RED-DKOL-10/08 ";"17,74 ";"L ";"9092 "
"400 ";"12 ";"6 ";"M 18 x 1,5 ";"40 ";"25,0 ";"17 ";"22 ";"14 ";"RED-DKOL-12/06 ";"21,99 ";"L ";"9093 "
"400 ";"12 ";"8 ";"M 18 x 1,5 ";"40 ";"25,0 ";"17 ";"22 ";"17 ";"RED-DKOL-12/08 ";"22,5 ";"L ";"9094 "
"400 ";"12 ";"10 ";"M 18 x 1,5 ";"41 ";"26,0 ";"17 ";"22 ";"19 ";"RED-DKOL-12/10 ";"24,49 ";"L ";"9095 "
"400 ";"15 ";"6 ";"M 22 x 1,5 ";"43 ";"28,5 ";"19 ";"27 ";"14 ";"RED-DKOL-15/06 ";"24,95 ";"L ";"9096 "
"400 ";"15 ";"8 ";"M 22 x 1,5 ";"43 ";"28,5 ";"19 ";"27 ";"17 ";"RED-DKOL-15/08 ";"25,56 ";"L ";"9097 "
"400 ";"15 ";"10 ";"M 22 x 1,5 ";"44 ";"29,5 ";"19 ";"27 ";"19 ";"RED-DKOL-15/10 ";"26,08 ";"L ";"9098 "
"400 ";"15 ";"12 ";"M 22 x 1,5 ";"44 ";"29,5 ";"19 ";"27 ";"22 ";"RED-DKOL-15/12 ";"27,1 ";"L ";"9099 "
"400 ";"18 ";"6 ";"M 26 x 1,5 ";"43 ";"28,0 ";"24 ";"32 ";"14 ";"RED-DKOL-18/06 ";"28,63 ";"L ";"9100 "
"400 ";"18 ";"8 ";"M 26 x 1,5 ";"43 ";"28,0 ";"24 ";"32 ";"17 ";"RED-DKOL-18/08 ";"30,68 ";"L ";"9101 "
"400 ";"18 ";"10 ";"M 26 x 1,5 ";"44 ";"29,0 ";"24 ";"32 ";"19 ";"RED-DKOL-18/10 ";"30,73 ";"L ";"9102 "
"400 ";"18 ";"12 ";"M 26 x 1,5 ";"44 ";"29,0 ";"24 ";"32 ";"22 ";"RED-DKOL-18/12 ";"31,7 ";"L ";"9103 "
"400 ";"18 ";"15 ";"M 26 x 1,5 ";"45 ";"30,0 ";"24 ";"32 ";"27 ";"RED-DKOL-18/15 ";"33,23 ";"L ";"9104 "
"250 ";"22 ";"6 ";"M 30 x 2 ";"47 ";"32,0 ";"27 ";"36 ";"14 ";"RED-DKOL-22/06 ";"36,81 ";"L ";"9105 "
"250 ";"22 ";"8 ";"M 30 x 2 ";"47 ";"32,0 ";"27 ";"36 ";"17 ";"RED-DKOL-22/08 ";"35,54 ";"L ";"9106 "
"250 ";"22 ";"10 ";"M 30 x 2 ";"48 ";"33,0 ";"27 ";"36 ";"19 ";"RED-DKOL-22/10 ";"38,86 ";"L ";"9107 "
