"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"M 16 x 1,5 ";"27,0 ";"34,0 ";"14 ";"19 ";"RED-DKOS-08/06-OMD ";"20,22 ";"S ";"9315 "
"800 ";"10 ";"6 ";"M 18 x 1,5 ";"27,5 ";"34,5 ";"17 ";"22 ";"RED-DKOS-10/06-OMD ";"20,83 ";"S ";"9316 "
"800 ";"10 ";"8 ";"M 18 x 1,5 ";"27,5 ";"34,5 ";"17 ";"22 ";"RED-DKOS-10/08-OMD ";"20,83 ";"S ";"9317 "
"630 ";"12 ";"6 ";"M 20 x 1,5 ";"29,0 ";"37,0 ";"17 ";"24 ";"RED-DKOS-12/06-OMD ";"22,52 ";"S ";"9318 "
"630 ";"12 ";"8 ";"M 20 x 1,5 ";"29,0 ";"37,0 ";"17 ";"24 ";"RED-DKOS-12/08-OMD ";"23,39 ";"S ";"9319 "
"630 ";"12 ";"10 ";"M 20 x 1,5 ";"29,5 ";"37,0 ";"19 ";"24 ";"RED-DKOS-12/10-OMD ";"24,18 ";"S ";"9320 "
"630 ";"14 ";"6 ";"M 22 x 1,5 ";"31,5 ";"38,5 ";"19 ";"27 ";"RED-DKOS-14/06-OMD ";"23,95 ";"S ";"9321 "
"630 ";"14 ";"8 ";"M 22 x 1,5 ";"31,5 ";"38,5 ";"19 ";"27 ";"RED-DKOS-14/08-OMD ";"24,82 ";"S ";"9322 "
"630 ";"14 ";"10 ";"M 22 x 1,5 ";"31,0 ";"38,5 ";"19 ";"27 ";"RED-DKOS-14/10-OMD ";"24,18 ";"S ";"9323 "
"630 ";"14 ";"12 ";"M 22 x 1,5 ";"31,0 ";"38,5 ";"22 ";"27 ";"RED-DKOS-14/12-OMD ";"29,24 ";"S ";"9324 "
"630 ";"16 ";"6 ";"M 24 x 1,5 ";"32,0 ";"39,0 ";"22 ";"30 ";"RED-DKOS-16/06-OMD ";"30,96 ";"S ";"9325 "
"630 ";"16 ";"8 ";"M 24 x 1,5 ";"32,0 ";"39,0 ";"22 ";"30 ";"RED-DKOS-16/08-OMD ";"31,11 ";"S ";"9326 "
"630 ";"16 ";"10 ";"M 24 x 1,5 ";"31,5 ";"39,0 ";"22 ";"30 ";"RED-DKOS-16/10-OMD ";"31,85 ";"S ";"9327 "
