"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"M 12 x 1,5 ";"24,5 ";"8 ";"14 ";"14 ";"EGE-DKOL-06-M 10x1-wd ";"17,38 ";"L ";"9360 "
"500 ";"8 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"26,5 ";"12 ";"17 ";"17 ";"EGE-DKOL-08-M 12x1,5-wd ";"18,66 ";"L ";"9361 "
"500 ";"10 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"27,5 ";"12 ";"19 ";"19 ";"EGE-DKOL-10-M 14x1,5-wd ";"20,66 ";"L ";"9362 "
"400 ";"12 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"30,5 ";"12 ";"22 ";"22 ";"EGE-DKOL-12-M 16x1,5-wd ";"22,75 ";"L ";"9363 "
"400 ";"15 ";"M 18 x 1,5 ";"M 22 x 1,5 ";"31,5 ";"12 ";"24 ";"27 ";"EGE-DKOL-15-M 18x1,5-wd ";"29,14 ";"L ";"9364 "
"400 ";"18 ";"M 22 x 1,5 ";"M 26 x 1,5 ";"31,5 ";"14 ";"27 ";"32 ";"EGE-DKOL-18-M 22x1,5-wd ";"42,49 ";"L ";"9365 "
"250 ";"22 ";"M 26 x 1,5 ";"M 30 x 2 ";"32,5 ";"16 ";"32 ";"36 ";"EGE-DKOL-22-M 26x1,5-wd ";"49,08 ";"L ";"9366 "
"250 ";"28 ";"M 33 x 2 ";"M 36 x 2 ";"35,0 ";"18 ";"41 ";"41 ";"EGE-DKOL-28-M 33x2-wd ";"76,69 ";"L ";"9367 "
"250 ";"35 ";"M 42 x 2 ";"M 45 x 2 ";"42,5 ";"20 ";"50 ";"50 ";"EGE-DKOL-35-M 42x2-wd ";"120,16 ";"L ";"9368 "
"250 ";"42 ";"M 48 x 2 ";"M 52 x 2 ";"46,5 ";"22 ";"55 ";"60 ";"EGE-DKOL-42-M 48x2-wd ";"130,38 ";"L ";"9369 "
"800 ";"6 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"27,0 ";"12 ";"17 ";"17 ";"EGE-DKOS-06-M 12x1,5-wd ";"18,41 ";"S ";"9370 "
"800 ";"8 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"29,5 ";"12 ";"19 ";"19 ";"EGE-DKOS-08-M 14x1,5-wd ";"19,43 ";"S ";"9371 "
"800 ";"10 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"32,0 ";"12 ";"22 ";"22 ";"EGE-DKOS-10-M 16x1,5-wd ";"22,39 ";"S ";"9372 "
"630 ";"12 ";"M 18 x 1,5 ";"M 20 x 1,5 ";"34,0 ";"12 ";"24 ";"24 ";"EGE-DKOS-12-M 18x1,5-wd ";"27,23 ";"S ";"9373 "
"630 ";"14 ";"M 20 x 1,5 ";"M 22 x 1,5 ";"36,5 ";"14 ";"27 ";"27 ";"EGE-DKOS-14-M 20x1,5-wd ";"31,44 ";"S ";"9374 "
"630 ";"16 ";"M 22 x 1,5 ";"M 24 x 1,5 ";"37,0 ";"14 ";"27 ";"30 ";"EGE-DKOS-16-M 22x1,5-wd ";"42,67 ";"S ";"9375 "
"420 ";"20 ";"M 27 x 2 ";"M 30 x 2 ";"43,0 ";"16 ";"32 ";"36 ";"EGE-DKOS-20-M 27x2-wd ";"58,19 ";"S ";"9376 "
"420 ";"25 ";"M 33 x 2 ";"M 36 x 2 ";"48,0 ";"18 ";"41 ";"46 ";"EGE-DKOS-25-M 33x2-wd ";"84,36 ";"S ";"9377 "
"420 ";"30 ";"M 42 x 2 ";"M 42 x 2 ";"51,0 ";"20 ";"50 ";"50 ";"EGE-DKOS-30-M 42x2-wd ";"120,16 ";"S ";"9378 "
"420 ";"38 ";"M 48 x 2 ";"M 52 x 2 ";"60,0 ";"22 ";"55 ";"60 ";"EGE-DKOS-38-M 48x2-wd ";"150,83 ";"S ";"9379 "
