"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/4'' ";"M 12 x 1,5 ";"35,5 ";"14,5 ";"4,5 ";"19 ";"14 ";"MVE-DKOL-06-G 1/4'' ";"15,57 ";"L ";"9458 "
"315 ";"6 ";"1/2'' ";"M 12 x 1,5 ";"43,0 ";"20,0 ";"5,0 ";"27 ";"14 ";"MVE-DKOL-06-G 1/2'' ";"24,25 ";"L ";"9459 "
"315 ";"8 ";"1/4'' ";"M 14 x 1,5 ";"35,5 ";"14,5 ";"4,5 ";"19 ";"17 ";"MVE-DKOL-08-G 1/4'' ";"16,11 ";"L ";"9460 "
"315 ";"8 ";"1/2'' ";"M 14 x 1,5 ";"43,7 ";"20,0 ";"5,0 ";"27 ";"17 ";"MVE-DKOL-08-G 1/2'' ";"24,75 ";"L ";"9461 "
"315 ";"10 ";"1/4'' ";"M 16 x 1,5 ";"36,0 ";"14,5 ";"4,5 ";"19 ";"19 ";"MVE-DKOL-10-G 1/4'' ";"17,03 ";"L ";"9462 "
"315 ";"10 ";"1/2'' ";"M 16 x 1,5 ";"43,7 ";"20,0 ";"5,0 ";"27 ";"19 ";"MVE-DKOL-10-G 1/2'' ";"25,75 ";"L ";"9463 "
"315 ";"12 ";"1/4'' ";"M 18 x 1,5 ";"36,0 ";"14,5 ";"4,5 ";"19 ";"22 ";"MVE-DKOL-12-G 1/4'' ";"17,64 ";"L ";"9464 "
"315 ";"12 ";"1/2'' ";"M 18 x 1,5 ";"44,0 ";"20,0 ";"5,0 ";"27 ";"22 ";"MVE-DKOL-12-G 1/2'' ";"26,5 ";"L ";"9465 "
"630 ";"6 ";"1/4'' ";"M 14 x 1,5 ";"36,0 ";"14,5 ";"4,5 ";"19 ";"17 ";"MVE-DKOS-06-G 1/4'' ";"22,24 ";"S ";"9466 "
"630 ";"6 ";"1/2'' ";"M 14 x 1,5 ";"43,0 ";"20,0 ";"5,0 ";"27 ";"17 ";"MVE-DKOS-06-G 1/2'' ";"22,24 ";"S ";"9467 "
"630 ";"8 ";"1/4'' ";"M 16 x 1,5 ";"37,5 ";"14,5 ";"4,5 ";"19 ";"19 ";"MVE-DKOS-08-G 1/4'' ";"22,75 ";"S ";"9468 "
"630 ";"8 ";"1/2'' ";"M 16 x 1,5 ";"43,0 ";"20,0 ";"5,0 ";"27 ";"19 ";"MVE-DKOS-08-G 1/2'' ";"22,75 ";"S ";"9469 "
"630 ";"10 ";"1/4'' ";"M 18 x 1,5 ";"37,5 ";"14,5 ";"4,5 ";"19 ";"22 ";"MVE-DKOS-10-G 1/4'' ";"23,75 ";"S ";"9470 "
"630 ";"10 ";"1/2'' ";"M 18 x 1,5 ";"43,5 ";"20,0 ";"5,0 ";"27 ";"22 ";"MVE-DKOS-10-G 1/2'' ";"23,75 ";"S ";"9471 "
"630 ";"12 ";"1/4'' ";"M 20 x 1,5 ";"39,0 ";"14,5 ";"4,5 ";"19 ";"24 ";"MVE-DKOS-12-G 1/4'' ";"24,47 ";"S ";"9472 "
"630 ";"12 ";"1/2'' ";"M 20 x 1,5 ";"45,0 ";"20,0 ";"5,0 ";"27 ";"24 ";"MVE-DKOS-12-G 1/2'' ";"24,47 ";"S ";"9473 "
