"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"51,0 ";"36,0 ";"12 ";"14 ";"DA-DKOL-06 ";"29,91 ";"L ";"11549 "
"500 ";"8 ";"M 14 x 1,5 ";"51,0 ";"36,0 ";"14 ";"17 ";"DA-DKOL-08 ";"32,97 ";"L ";"11550 "
"500 ";"10 ";"M 16 x 1,5 ";"51,0 ";"36,0 ";"17 ";"19 ";"DA-DKOL-10 ";"37,91 ";"L ";"11551 "
"400 ";"12 ";"M 18 x 1,5 ";"51,0 ";"36,0 ";"19 ";"22 ";"DA-DKOL-12 ";"42,93 ";"L ";"11552 "
"400 ";"15 ";"M 22 x 1,5 ";"51,0 ";"36,0 ";"24 ";"27 ";"DA-DKOL-15 ";"55,74 ";"L ";"11553 "
"400 ";"18 ";"M 26 x 1,5 ";"52,0 ";"36,0 ";"27 ";"32 ";"DA-DKOL-18 ";"82,83 ";"L ";"11554 "
"250 ";"22 ";"M 30 x 2 ";"56,0 ";"40,0 ";"32 ";"36 ";"DA-DKOL-22 ";"102,31 ";"L ";"11555 "
"250 ";"28 ";"M 36 x 2 ";"57,0 ";"40,0 ";"41 ";"41 ";"DA-DKOL-28 ";"129,8 ";"L ";"11556 "
"250 ";"35 ";"M 45 x 2 ";"72,0 ";"50,0 ";"46 ";"50 ";"DA-DKOL-35 ";"184,51 ";"L ";"11557 "
"250 ";"42 ";"M 52 x 2 ";"83,0 ";"60,0 ";"55 ";"60 ";"DA-DKOL-42 ";"209,83 ";"L ";"11558 "
"800 ";"6 ";"M 14 x 1,5 ";"51,0 ";"36,0 ";"14 ";"17 ";"DA-DKOS-06 ";"31,91 ";"S ";"11559 "
"800 ";"8 ";"M 16 x 1,5 ";"51,0 ";"36,0 ";"17 ";"19 ";"DA-DKOS-08 ";"38,06 ";"S ";"11560 "
"800 ";"10 ";"M 18 x 1,5 ";"52,0 ";"36,0 ";"19 ";"22 ";"DA-DKOS-10 ";"43,27 ";"S ";"11561 "
"630 ";"12 ";"M 20 x 1,5 ";"52,0 ";"36,0 ";"22 ";"24 ";"DA-DKOS-12 ";"51,57 ";"S ";"11562 "
"630 ";"14 ";"M 22 x 1,5 ";"58,0 ";"40,0 ";"24 ";"27 ";"DA-DKOS-14 ";"58,89 ";"S ";"11563 "
"630 ";"16 ";"M 24 x 1,5 ";"58,0 ";"40,0 ";"27 ";"30 ";"DA-DKOS-16 ";"79,17 ";"S ";"11564 "
"420 ";"20 ";"M 30 x 2 ";"68,0 ";"46,0 ";"32 ";"36 ";"DA-DKOS-20 ";"102,44 ";"S ";"11565 "
"420 ";"25 ";"M 36 x 2 ";"74,0 ";"50,0 ";"41 ";"46 ";"DA-DKOS-25 ";"130,72 ";"S ";"11566 "
"420 ";"30 ";"M 42 x 2 ";"83,0 ";"56,0 ";"46 ";"50 ";"DA-DKOS-30 ";"188,74 ";"S ";"11567 "
"420 ";"38 ";"M 52 x 2 ";"91,0 ";"60,0 ";"55 ";"60 ";"DA-DKOS-38 ";"219,91 ";"S ";"11568 "
