"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"33,0 ";"14 ";"GV-DKOL-06 ";"18,87 ";"L ";"8455 "
"500 ";"8 ";"M 14 x 1,5 ";"33,7 ";"17 ";"GV-DKOL-08 ";"20,17 ";"L ";"8456 "
"500 ";"10 ";"M 16 x 1,5 ";"34,5 ";"19 ";"GV-DKOL-10 ";"22,8 ";"L ";"8457 "
"400 ";"12 ";"M 18 x 1,5 ";"35,0 ";"22 ";"GV-DKOL-12 ";"24,93 ";"L ";"8458 "
"400 ";"15 ";"M 22 x 1,5 ";"39,0 ";"27 ";"GV-DKOL-15 ";"35,23 ";"L ";"8459 "
"400 ";"18 ";"M 26 x 1,5 ";"38,0 ";"32 ";"GV-DKOL-18 ";"49,14 ";"L ";"8460 "
"250 ";"22 ";"M 30 x 2 ";"43,0 ";"36 ";"GV-DKOL-22 ";"58,26 ";"L ";"8461 "
"250 ";"28 ";"M 36 x 2 ";"46,0 ";"41 ";"GV-DKOL-28 ";"86,92 ";"L ";"8462 "
"250 ";"35 ";"M 45 x 2 ";"47,0 ";"50 ";"GV-DKOL-35 ";"120,16 ";"L ";"8463 "
"250 ";"42 ";"M 52 x 2 ";"52,0 ";"60 ";"GV-DKOL-42 ";"142,14 ";"L ";"8464 "
"800 ";"6 ";"M 14 x 1,5 ";"33,0 ";"17 ";"GV-DKOS-06 ";"20,91 ";"S ";"8465 "
"800 ";"8 ";"M 16 x 1,5 ";"36,0 ";"19 ";"GV-DKOS-08 ";"22,73 ";"S ";"8466 "
"800 ";"10 ";"M 18 x 1,5 ";"36,0 ";"22 ";"GV-DKOS-10 ";"24,95 ";"S ";"8467 "
"630 ";"12 ";"M 20 x 1,5 ";"38,0 ";"24 ";"GV-DKOS-12 ";"28,07 ";"S ";"8468 "
"630 ";"14 ";"M 22 x 1,5 ";"38,0 ";"27 ";"GV-DKOS-14 ";"38,17 ";"S ";"8469 "
"630 ";"16 ";"M 24 x 1,5 ";"39,0 ";"30 ";"GV-DKOS-16 ";"47,53 ";"S ";"8470 "
"420 ";"20 ";"M 30 x 2 ";"46,5 ";"36 ";"GV-DKOS-20 ";"58,8 ";"S ";"8471 "
"420 ";"25 ";"M 36 x 2 ";"47,5 ";"46 ";"GV-DKOS-25 ";"99,7 ";"S ";"8472 "
"420 ";"30 ";"M 42 x 2 ";"52,0 ";"50 ";"GV-DKOS-30 ";"125,27 ";"S ";"8473 "
"420 ";"38 ";"M 52 x 2 ";"52,5 ";"60 ";"GV-DKOS-38 ";"171,29 ";"S ";"8474 "
