"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G1";"Gewinde  Thread  G2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"M 14 x 1,5 ";"M 12 x 1,5 ";"31,0 ";"17 ";"14 ";"GVR-DKO-08-L/06-L ";"19,43 ";"L ";"8475 "
"500 ";"10 ";"6 ";"M 16 x 1,5 ";"M 12 x 1,5 ";"34,0 ";"19 ";"14 ";"GVR-DKO-10-L/06-L ";"21,9 ";"L ";"8476 "
"500 ";"10 ";"8 ";"M 16 x 1,5 ";"M 14 x 1,5 ";"33,0 ";"19 ";"17 ";"GVR-DKO-10-L/08-L ";"21,99 ";"L ";"8477 "
"400 ";"12 ";"6 ";"M 18 x 1,5 ";"M 12 x 1,5 ";"34,0 ";"22 ";"14 ";"GVR-DKO-12-L/06-L ";"24,3 ";"L ";"8478 "
"400 ";"12 ";"8 ";"M 18 x 1,5 ";"M 14 x 1,5 ";"34,0 ";"22 ";"17 ";"GVR-DKO-12-L/08-L ";"24,3 ";"L ";"8479 "
"400 ";"12 ";"10 ";"M 18 x 1,5 ";"M 16 x 1,5 ";"33,0 ";"22 ";"19 ";"GVR-DKO-12-L/10-L ";"24,54 ";"L ";"8480 "
"400 ";"15 ";"8 ";"M 22 x 1,5 ";"M 14 x 1,5 ";"37,0 ";"27 ";"17 ";"GVR-DKO-15-L/08-L ";"34,26 ";"L ";"8481 "
"400 ";"15 ";"10 ";"M 22 x 1,5 ";"M 16 x 1,5 ";"38,0 ";"27 ";"19 ";"GVR-DKO-15-L/10-L ";"34,51 ";"L ";"8482 "
"400 ";"15 ";"12 ";"M 22 x 1,5 ";"M 18 x 1,5 ";"35,0 ";"27 ";"22 ";"GVR-DKO-15-L/12-L ";"34,77 ";"L ";"8483 "
"400 ";"18 ";"10 ";"M 26 x 1,5 ";"M 16 x 1,5 ";"36,3 ";"32 ";"19 ";"GVR-DKO-18-L/10-L ";"48,15 ";"L ";"8484 "
"400 ";"18 ";"12 ";"M 26 x 1,5 ";"M 18 x 1,5 ";"38,0 ";"32 ";"22 ";"GVR-DKO-18-L/12-L ";"48,16 ";"L ";"8485 "
"400 ";"18 ";"15 ";"M 26 x 1,5 ";"M 22 x 1,5 ";"43,0 ";"32 ";"27 ";"GVR-DKO-18-L/15-L ";"48,63 ";"L ";"8486 "
"250 ";"22 ";"12 ";"M 30 x 2 ";"M 18 x 1,5 ";"42,0 ";"36 ";"22 ";"GVR-DKO-22-L/12-L ";"56,9 ";"L ";"8487 "
"250 ";"22 ";"15 ";"M 30 x 2 ";"M 22 x 1,5 ";"43,5 ";"36 ";"27 ";"GVR-DKO-22-L/15-L ";"57,01 ";"L ";"8488 "
"250 ";"22 ";"18 ";"M 30 x 2 ";"M 26 x 1,5 ";"43,0 ";"36 ";"32 ";"GVR-DKO-22-L/18-L ";"57,75 ";"L ";"8489 "
"250 ";"28 ";"15 ";"M 36 x 2 ";"M 22 x 1,5 ";"";"41 ";"27 ";"GVR-DKO-28-L/15-L ";"85,7 ";"L ";"8490 "
"250 ";"28 ";"18 ";"M 36 x 2 ";"M 26 x 1,5 ";"46,0 ";"41 ";"32 ";"GVR-DKO-28-L/18-L ";"85,8 ";"L ";"8491 "
"250 ";"28 ";"22 ";"M 36 x 2 ";"M 30 x 2 ";"";"41 ";"36 ";"GVR-DKO-28-L/22-L ";"86,15 ";"L ";"8492 "
"250 ";"35 ";"18 ";"M 45 x 2 ";"M 26 x 1,5 ";"44,0 ";"50 ";"32 ";"GVR-DKO-35-L/18-L ";"119 ";"L ";"8493 "
"250 ";"35 ";"22 ";"M 45 x 2 ";"M 30 x 2 ";"";"50 ";"36 ";"GVR-DKO-35-L/22-L ";"119,5 ";"L ";"8494 "
"250 ";"35 ";"28 ";"M 45 x 2 ";"M 36 x 2 ";"46,5 ";"50 ";"41 ";"GVR-DKO-35-L/28-L ";"120,13 ";"L ";"8495 "
"250 ";"42 ";"22 ";"M 52 x 2 ";"M 30 x 2 ";"47,0 ";"60 ";"36 ";"GVR-DKO-42-L/22-L ";"150 ";"L ";"8496 "
"250 ";"42 ";"28 ";"M 52 x 2 ";"M 36 x 2 ";"47,5 ";"60 ";"41 ";"GVR-DKO-42-L/28-L ";"150 ";"L ";"8497 "
"250 ";"42 ";"35 ";"M 52 x 2 ";"M 45 x 2 ";"52,0 ";"60 ";"50 ";"GVR-DKO-42-L/35-L ";"150,83 ";"L ";"8498 "
"800 ";"8 ";"6 ";"M 16 x 1,5 ";"M 14 x 1,5 ";"35,5 ";"19 ";"17 ";"GVR-DKO-08-S/06-S ";"22,24 ";"S ";"8499 "
"800 ";"10 ";"6 ";"M 18 x 1,5 ";"M 14 x 1,5 ";"35,5 ";"22 ";"17 ";"GVR-DKO-10-S/06-S ";"27 ";"S ";"8500 "
"800 ";"10 ";"8 ";"M 18 x 1,5 ";"M 16 x 1,5 ";"37,0 ";"22 ";"19 ";"GVR-DKO-10-S/08-S ";"24,44 ";"S ";"8501 "
"630 ";"12 ";"6 ";"M 20 x 1,5 ";"M 14 x 1,5 ";"36,0 ";"24 ";"17 ";"GVR-DKO-12-S/06-S ";"27,5 ";"S ";"8502 "
"630 ";"12 ";"8 ";"M 20 x 1,5 ";"M 16 x 1,5 ";"37,5 ";"24 ";"19 ";"GVR-DKO-12-S/08-S ";"27,5 ";"S ";"8503 "
"630 ";"12 ";"10 ";"M 20 x 1,5 ";"M 18 x 1,5 ";"37,5 ";"24 ";"22 ";"GVR-DKO-12-S/10-S ";"27,56 ";"S ";"8504 "
"630 ";"16 ";"10 ";"M 24 x 1,5 ";"M 18 x 1,5 ";"37,5 ";"30 ";"22 ";"GVR-DKO-16-S/10-S ";"46,4 ";"S ";"8505 "
"630 ";"16 ";"12 ";"M 24 x 1,5 ";"M 20 x 1,5 ";"38,0 ";"30 ";"24 ";"GVR-DKO-16-S/12-S ";"46,78 ";"S ";"8506 "
"630 ";"16 ";"14 ";"M 24 x 1,5 ";"M 22 x 1,5 ";"47,0 ";"30 ";"27 ";"GVR-DKO-16-S/14-S ";"47,95 ";"S ";"8507 "
"420 ";"20 ";"12 ";"M 30 x 2 ";"M 20 x 1,5 ";"43,0 ";"36 ";"24 ";"GVR-DKO-20-S/12-S ";"58,9 ";"S ";"8508 "
"420 ";"20 ";"14 ";"M 30 x 2 ";"M 22 x 1,5 ";"";"36 ";"27 ";"GVR-DKO-20-S/14-S ";"78,2 ";"S ";"11324 "
"420 ";"20 ";"16 ";"M 30 x 2 ";"M 24 x 1,5 ";"43,0 ";"36 ";"30 ";"GVR-DKO-20-S/16-S ";"59,37 ";"S ";"8509 "
"420 ";"25 ";"16 ";"M 36 x 2 ";"M 24 x 1,5 ";"46,0 ";"46 ";"30 ";"GVR-DKO-25-S/16-S ";"99,1 ";"S ";"8510 "
"420 ";"25 ";"20 ";"M 36 x 2 ";"M 30 x 2 ";"46,0 ";"46 ";"36 ";"GVR-DKO-25-S/20-S ";"99,7 ";"S ";"8511 "
"420 ";"30 ";"16 ";"M 42 x 2 ";"M 24 x 1,5 ";"46,0 ";"50 ";"30 ";"GVR-DKO-30-S/16-S ";"123,7 ";"S ";"8512 "
"420 ";"30 ";"20 ";"M 42 x 2 ";"M 30 x 2 ";"52,0 ";"50 ";"36 ";"GVR-DKO-30-S/20-S ";"123,7 ";"S ";"8513 "
"420 ";"30 ";"25 ";"M 42 x 2 ";"M 36 x 2 ";"52,0 ";"50 ";"46 ";"GVR-DKO-30-S/25-S ";"124,32 ";"S ";"8514 "
"420 ";"38 ";"20 ";"M 52 x 2 ";"M 30 x 2 ";"52,0 ";"60 ";"36 ";"GVR-DKO-38-S/20-S ";"172 ";"S ";"8515 "
"420 ";"38 ";"25 ";"M 52 x 2 ";"M 36 x 2 ";"53,0 ";"60 ";"46 ";"GVR-DKO-38-S/25-S ";"172,5 ";"S ";"8516 "
"420 ";"38 ";"30 ";"M 52 x 2 ";"M 42 x 2 ";"52,0 ";"60 ";"50 ";"GVR-DKO-38-S/30-S ";"173 ";"S ";"8517 "
